phase,team1,team2,dd,result,star,stadium,remark
supercup,fyn,ajx,19990808,3-2,1,Amsterdam (de Arena), # nv = sudden-death
8f,rkc,end,20000130,2-0,1,,
8f,psv,vit,20000130,0-2,2,,
8f,utr,gae,20000130,5-3,1,,
8f,rdj,ajx,20000130,1-0,1,,
8f,hlm,wl2,20000130,1-2,2,,
8f,fyn,az1,20000130,1-3,2,,
8f,nec,exc,20000130,1-0,1,,
8f,drd,rbc,20000130,1-0,1,,
4f,rkc,vit,20000216,0-1,2,,
4f,utr,rdj,20000216,0-1,2,,
4f,wl2,az1,20000217,1-2,4,,
4f,nec,drd,20000216,2-0,1,,
2f,vit,rdj,20000412,0-1,4,,
2f,az1,nec,20000411,1-1,6,,
f,rdj,nec,20000521,2-0,1,Rotterdam (De Kuip),
