phase,team1,team2,dd,result,star,remark
supercup,psv,fyn,20180804,0-0,6,
8f,az1,pzw,20181218,5-0,1,Een dag later wordt trainer Van 't Schip ontslagen.
8f,koz,vit,20181220,1-2,2,
8f,twn,rkc,20181218,2-0,1,
8f,wl2,afc,20181218,3-0,1,
8f,fyn,utr,20181220,1-0,1,
8f,fst,cmb,20181219,2-1,1,
8f,rdj,ajx,20181219,1-1,6,
8f,odn,hrv,20181219,1-3,2,
4f,az1,vit,20190122,2-0,1,
4f,twn,wl2,20190123,2-3,2,
4f,fyn,fst,20190123,4-1,1,
4f,ajx,hrv,20190124,3-1,1,
2f,wl2,az1,20190228,1-1,5,
2f,fyn,ajx,20190227,0-3,2,
f,wl2,ajx,20190505,0-4,2,
