# empty header
title,Eindstand Eerste Divisie (Jupiler League)
grf,38,25, 8, 5,83,88,41,K;RP;P3
vvv,38,21, 8, 9,71,64,44,PDP
rbc,38,20,10, 8,70,82,44,PD;P2
vol,38,19,11, 8,68,65,40,PD;P5
dbs,38,20, 8,10,68,65,43,PD;P1
drd,38,20, 7,11,67,76,49,PD
gae,38,16, 9,13,57,56,51,PD;P4
vnd,38,14,13,11,55,57,50,PD
zwl,38,14,11,13,53,66,51,PD
tls,38,14, 6,18,48,61,61
emm,38,13, 9,16,48,59,65
cmb,38,13, 8,17,47,44,57
mvv,38,11,13,14,46,49,51
hrl,38,10,13,15,43,43,57
fst,38,12, 7,19,43,38,57
omn,38,11, 8,19,41,55,82
top,38,11, 7,20,40,59,78
hlm,38, 8,12,18,36,40,76
end,38, 7,12,19,30,47,80
ago,38, 7, 8,23,29,42,79
