2000-2001:
title, Topscorers Eerste Divisie
 1, Jansen, top, 30
 2, Van den Eede, dbs, 23
 3, Boogers, drd, 19
 3, Henar, hlm, 19
 5, Cvetkov, vnd, 18
 6, Simr, exc, 17
 7, Boussaboun, adh, 15
 7, MacDonald, end, 15
 7, Van Arum, gae, 15
 7, Van Oostrum, Telstar/Emmen, 15
2001-2002:
title, Topscorers Eerste divisie
 1, Cvetkov, vnd, 22
 2, Den Ouden, rbc, 20
 2, Ten Heuvel, tls, 20
 2, Hofstede, vvv, 20
 5, Roy Stroeve, hrc, 17
 6, Van Eijkeren, adh, 16
 6, Bruin, cmb, 16
 6, Boogers, drd, 16
 6, De Vries, drd, 16
10, Thomas Buffel, exc, 15
10, Lopes, exc, 15
10, Taiwo, mvv, 15
10, Vos, rbc, 15
10, Buys, vol, 15
2002-2003:
title, Topscorers Eerste Divisie
 1, De Groot, emm, 30
 2, Platvoet, hrc, 26
 3, koevermans, spr, 25
 4, Jansen, dbs, 20
 5, Bruin, cmb, 19, # ?
 6, Yildirim, gae, 18
 7, Roy Stroeve, adh, 17
 7, Van de Laak, dbs, 17
 7, Ronald Hamming, fst, 17
10, Jacobs, vvv, 16
2003-2004:
title, Topscorers Eerste divisie
 1, huntelaar, ago, 26
 2, Jansen, dbs, 25
 3, Rose, hrc, 22
 4, Hamming, vnd, 21
 5, Yildirim, gae, 19
 6, El Hamdaoui, exc, 17
 7, Van den Bergh, spr, 17
 8, Jacobs, vvv, 16
 9, Van de Laak, dbs, 16
10, koevermans, spr, 15
2004-2005:
title, Topscorers Eerste Divisie
 1, koevermans, spr, 24
 2, v.d. Bergh, spr, 22
 2, Mustapha, spr, 22
 4, Cvetkov, hlm, 19
 5, Derksen, fst, 18
 6, Hamming, vnd, 16
 7, Hofstede, vvv, 15
 7, Kantelberg, tls, 15
 9, Lopes Monteiro, ago, 13
 9, Tamerus, hrc, 13
 9, Muhamadu, mvv, 13
 9, Berger, zwl, 13
2005-2006:
title, Topscorers 1e Divisie 2005/2006
 1, Berry Powel, dbs, 19
 2, Santi Kolk, zwl, 18
 2, Mourad Mghizrat, emm, 18
 2, Sergio van Dijk, emm, 18
 5, Sjoerd Ars, omn, 17
 5, Wasiu Taiwo, fst, 17
 7, Gonzalo Garcia-Garcia, ago, 16
 8, Cecilio Lopes, drd, 15
 8, Hilmi Mihci, dbs, 15
 8, terheide, ago, 15
2006-2007:
title, Topscorers Eerste Divisie
 1, Berry Powel, grf, 29
 2, Harrie Gommans, mvv, 22
 3, Jhon van Beukering, grf, 21
 4, Cecilio Lopes, drd, 20
 5, Dirk Jan Derksen, vvv, 19
 6, Sjoerd Ars, gae, 18
 6, Jan Bruin, tls, 18
 8, terheide, ago, 17
 9, Achmed Ahahaoui, hrl, 15
 9, Danny Guijt, rbc, 15
2007-2008:
title, Topscorers Eerste Divisie
 1, tuyp, vol, 26
 2, thiebaut, mvv, 22
 3, terheide, ago, 19
 4, Van der Biezen, dbs, 18
 5, Caracciolo, end, 17
 6, Quekel, top, 16
2008-2009:
title, Topscorers Eerste Divisie
 1, calabro, vvv, 25
 2, thiebaut, mvv, 20
 3, koc, end, 18
 3, plet, tlr, 18
 5, ars, rbc, 17
 6, honda, vvv, 16
 7, bokila, ago, 14
 7, terheide, cmb, 14
2009-2010:
title, Topscorers Eerste Divisie
 1, deleeuw, vnd, 25
 2, voskamp, hlm, 22
 3, devries, cmb, 21
 3, plet, tlr, 21
 5, caracciolo, dbs, 19
 6, chadli, ago, 17
 6, tuyp, vol, 17
 8, bargas, grf, 16
 8, ars, rbc, 16
 8, maachi, cmb, 16
2010-2011:
title, Topscorers Eerste Divisie
 1, voskamp, spr, 29
 2, ars, zwl, 28
 3, platje, vol, 21
 4, hemmen, ago, 20
 4, degroot, rkc, 20
 6, boerrigter, rkc, 18
 7, benson, rkc, 17
 8, schreurs, zwl, 16
 8, vdbiezen, gae, 16
2011-2012:
title, Topscorers Eerste Divisie
 1, tuyp, vol, 20
 2, maachi, zwl, 18
 2, quekel, hlm, 18
 4, Lopes, drd, 16
 5, Van Weert, dbs, 15
 5, J. Bokila, spr, 15
 5, J. Plat, tlr, 15
 8, Kolder, gae, 14
 8, De Groot, wl2, 14
 8, Schreurs, fst, 14
2012-2013:
title, Topscorers Eerste Divisie
 1, tuyp, vol, 27
 2, Kramer, vol, 22
 3, A. Jansen, grf, 21
 4, Calabro, spr, 19
 5, E. G&uuml;venc, hlm, 18
 6, Van Weert, dbs, 17
 6, Hemmen, cmb, 17
 8, Nkoyi, fst, 15
 8, Kolder, gae, 15
2013-2014:
title, Topscorers Eerste Divisie
 1, Lars Veldwijk, exc, 30
 2, Boymans, wl2, 27
 3, M&uuml;hren, vol, 25
 4, Quekel, dbs, 19
 5, Gladon, drd, 17
 6, Parzyszek, grf, 16
 7, Korte, drd, 15
 8, Khalouta, fst, 15
2014-2015:
title, Topscorers Eerste Divisie
 1, Sjoerd Ars, nec, 28
 2, Cas Peters, FC Emmen, 23
 2, Christian Santos, nec, 23
 4, Kevin Brands, FC Volendam, 22
 5, Vincent Janssen, Almere City FC, 19
 6, Jerry van Ewijk, De Graafschap, 18
 6, Vincent Vermeij, De Graafschap, 18
 6, Richairo Zivkovic, Jong Ajax, 18
 9, Ralf Seuntjens, Telstar, 17
2015-2016:
title, Topscorers Eerste Divisie
 1, Ralf Seuntjens, VVV-Venlo, 28
 2, De Kogel, Go Ahead Eagles, 24
 2, Verhaar, Sparta Rdam, 24
 4, Janga, FC Dordrecht, 21
 4, Ars, NAC Breda, 21
 6, Tissoudali, Telstar, 19
 7, Brogno, Sparta Rdam, 16
 8, Kip, Almere City FC, 15
 8, Caenepeel, FC Eindhoven, 15
2016-2017:
title, Topscorers Eerste Divisie
 1, Tom Boere,            FC Oss,         33
