# empty header
rdj,fyn,19960820,1,1
vol,grf,19960821,1,1
grn,wl2,19960821,0,0
az1,vit,19960821,0,2
utr,rkc,19960821,2,2
spr,fst,19960821,0,0
hrv,twn,19960821,1,3
ajx,nac,19960821,1,0
nec,psv,19960822,1,4
grf,rkc,19960824,3,2
wl2,fst,19960824,0,1
hrv,ajx,19960824,2,0
nac,spr,19960824,1,0
fyn,vol,19960825,3,0
nec,az1,19960825,0,0
vit,utr,19960825,1,0
twn,rdj,19960825,1,1
psv,grn,19960825,4,1
fst,hrv,19960827,2,4
vit,spr,19960828,1,1
utr,twn,19960828,0,0
grn,rdj,19960828,1,1
vol,psv,19960828,1,3
wl2,rkc,19960828,1,3
fyn,grf,19960828,2,1
ajx,az1,19960828,1,0
nac,nec,19960829,1,1
fst,fyn,19960903,0,2
utr,grn,19960903,0,0
hrv,nac,19960903,0,1
spr,twn,19960904,1,2
az1,vol,19960904,2,1
rdj,ajx,19960904,0,0
grf,nec,19960904,4,0
wl2,vit,19960904,2,1
psv,rkc,19960905,4,0
grn,hrv,19960906,1,5
az1,fst,19960907,0,1
rdj,vol,19960907,3,0
fyn,wl2,19960907,4,1
nec,ajx,19960908,2,0
spr,utr,19960908,3,2
psv,nac,19960908,5,0
twn,grf,19960908,1,0
rkc,vit,19960926,0,1
vit,hrv,19960913,1,1
fst,utr,19960914,1,3
nac,az1,19960914,1,0
grn,nec,19960915,2,4
vol,wl2,19960915,2,1
twn,fyn,19960915,0,1
grf,psv,19960915,2,1
ajx,spr,19960915,2,0
rkc,rdj,19960915,0,2
hrv,nec,19960920,1,1
fst,vol,19960921,1,1
nac,rdj,19960921,0,1
spr,fyn,19960921,0,1
wl2,twn,19960921,1,2
psv,vit,19960921,0,0
az1,utr,19960922,3,1
grn,rkc,19960922,1,2
ajx,grf,19960922,1,1
rdj,fst,19960928,0,1
grf,wl2,19960928,2,2
grn,az1,19960929,1,0
spr,nec,19960929,1,0
vit,fyn,19960929,4,2
vol,hrv,19960929,2,2
rkc,nac,19960929,1,2
twn,ajx,19960929,1,1
utr,psv,19960929,2,2
psv,twn,19961008,2,0
fst,grf,19961008,0,3
az1,spr,19961009,1,2
vit,rdj,19961009,1,2
nec,hrv,19961009,1,1
rkc,vol,19961009,0,0
nac,utr,19961009,3,3
fyn,grn,19961009,3,1
ajx,wl2,19961009,3,0
fst,psv,19961011,1,1
rkc,fyn,19961012,1,1
rdj,az1,19961012,0,2
nac,twn,19961012,1,2
wl2,grn,19961012,3,1
hrv,spr,19961012,0,0
vol,nec,19961012,1,0
grf,vit,19961012,2,1
utr,ajx,19961012,1,1
nec,utr,19961018,2,2
wl2,hrv,19961019,2,2
az1,grf,19961019,2,3
vit,nac,19961020,3,0
twn,rkc,19961020,3,0
grn,fst,19961020,2,0
ajx,vol,19961020,1,1
spr,rdj,19961020,4,0
psv,fyn,19961020,7,2
utr,wl2,19961022,0,0
nac,grn,19961023,1,1
rdj,vit,19961023,1,1
spr,vol,19961023,0,3
nec,fst,19961023,1,1
fyn,az1,19961023,1,0
hrv,psv,19961023,0,1
ajx,rkc,19961024,2,0
psv,rdj,19961026,8,0
grf,fst,19961026,2,0
fyn,utr,19961026,2,1
az1,nec,19961027,2,2
wl2,nac,19961027,2,0
vol,grn,19961027,2,2
twn,spr,19961027,0,2
rkc,hrv,19961027,0,3
vit,ajx,19961027,1,4
fst,vit,19961101,1,5
az1,hrv,19961102,0,2
nec,spr,19961102,3,2
rdj,grf,19961102,3,0
twn,psv,19961103,1,2
utr,nac,19961103,3,1
wl2,ajx,19961103,0,1
grn,fyn,19961103,0,1
vol,rkc,19961103,1,0
spr,az1,19961105,1,2
utr,vol,19961106,1,0
fyn,nac,19961112,1,0
hrv,grf,19961112,2,1
rdj,nec,19961113,2,0
vit,rkc,19961113,2,2
twn,wl2,19961113,5,0
ajx,fst,19961113,2,2
psv,spr,19961114,2,1
hrv,fyn,19961115,1,0
fst,twn,19961116,1,1
utr,rdj,19961116,1,1
az1,rkc,19961116,2,1
grf,vol,19961116,1,0
nac,ajx,19961117,2,0
wl2,psv,19961117,1,0
spr,grn,19961117,0,2
nec,vit,19961117,0,1
twn,hrv,19961121,2,1
grf,grn,19961121,2,0
spr,wl2,19961123,3,1
nec,twn,19961124,0,3
rkc,fst,19961124,1,1
vol,nac,19961124,4,1
grn,vit,19961124,3,2
az1,psv,19961124,0,2
utr,grf,19961124,2,0
fyn,ajx,19961124,2,2
nac,grf,19961130,2,1
psv,nec,19961130,4,1
wl2,rdj,19961130,0,1
hrv,utr,19961130,2,2
vit,az1,19961201,1,0
ajx,grn,19961201,1,1
rkc,spr,19961201,2,0
vol,twn,19961201,0,1
rkc,wl2,19961206,1,2
hrv,fst,19961207,2,2
psv,vol,19961207,6,0
rdj,grn,19961207,2,0
nec,nac,19961208,0,3
az1,ajx,19961208,1,1
spr,vit,19961208,1,2
twn,utr,19961208,2,0
grf,fyn,19961208,0,4
fst,nac,19961218,2,2
fyn,rdj,19961218,1,0
wl2,utr,19961220,3,0
rdj,hrv,19961221,6,1
fst,rkc,19961221,0,0
vol,vit,19961222,1,1
nec,fyn,19961222,1,2
twn,az1,19961222,1,0
ajx,psv,19961222,0,2,51200
grn,grf,19961222,2,4
rdj,twn,19970215,1,3
hrv,az1,19970215,0,0
wl2,nec,19970215,3,1
utr,fst,19970215,0,1
grf,ajx,19970215,0,2
rkc,grn,19970215,1,1
vit,psv,19970215,1,0
vol,fyn,19970215,0,2
spr,nac,19970215,2,4
nac,hrv,19970222,2,2
rdj,wl2,19970222,2,1
psv,az1,19970222,2,1
grf,twn,19970222,1,2
rkc,nec,19970223,3,1
utr,spr,19970223,0,1
vol,fst,19970223,2,0
vit,grn,19970223,6,1
ajx,fyn,19970223,3,0
fst,wl2,19970301,2,0
hrv,rdj,19970301,3,1
fyn,nec,19970301,2,0
twn,vit,19970302,1,0
grn,vol,19970302,1,1
az1,nac,19970302,0,1
grf,utr,19970302,1,2
rkc,psv,19970302,1,4
hrv,vit,19970307,3,0
nec,rkc,19970308,3,1
nac,vol,19970308,3,0
spr,grf,19970308,1,1
wl2,az1,19970308,2,2
fst,rdj,19970308,0,3
ajx,utr,19970309,1,0
fyn,psv,19970309,0,0
grn,twn,19970309,2,1
ajx,rdj,19970314,3,1
nac,wl2,19970315,0,1
psv,fst,19970315,1,0
nec,grn,19970315,0,0
fyn,rkc,19970315,5,0
twn,vol,19970316,4,0
utr,az1,19970316,2,0
vit,grf,19970316,3,2
grn,nac,19970321,2,2
fst,spr,19970322,2,1
psv,hrv,19970322,0,1
vol,rdj,19970323,2,1
az1,fyn,19970323,0,2
twn,nec,19970323,3,0
rkc,ajx,19970323,1,2
rdj,utr,19970328,1,1
nec,vol,19970328,3,0
grf,az1,19970328,1,1
spr,hrv,19970328,0,3
hrv,wl2,19970405,3,1
fst,grn,19970405,0,2
grf,spr,19970405,0,2
fyn,vit,19970406,0,0
rkc,twn,19970406,3,2
vol,ajx,19970406,0,3
nac,psv,19970406,2,2
utr,nec,19970406,1,1
fst,az1,19970412,1,0
rdj,spr,19970412,4,1
wl2,fyn,19970413,0,2
utr,hrv,19970413,2,2
grf,nac,19970413,2,2
twn,grn,19970413,0,1
vit,vol,19970413,1,1
psv,ajx,19970413,2,0
ajx,nec,19970418,5,0
az1,rdj,19970419,1,3
psv,grf,19970419,5,0
nac,vit,19970419,1,1
wl2,spr,19970419,1,1
fyn,fst,19970419,4,4
grn,utr,19970420,2,2
hrv,rkc,19970420,2,0
vit,twn,19970425,4,2
rdj,rkc,19970426,4,0
nec,wl2,19970426,0,0
spr,ajx,19970504,2,1
rkc,utr,19970502,1,0
grf,hrv,19970503,2,1
twn,fst,19970503,2,1
vit,wl2,19970504,2,0
nac,fyn,19970504,0,2
vol,az1,19970504,2,2
grn,ajx,19970507,1,1
spr,psv,19970507,1,3
az1,wl2,19970510,1,0
