#<empty header>
adh,utr,20170811,0,3,12134
psv,az1,20170812,3,2,32700
vvv,spr,20170812,3,0, 5832
hrc,ajx,20170812,2,1,12080
vit,nac,20170812,4,1,13921
pzw,rdj,20170813,4,2,13000
fyn,twn,20170813,2,1,47500
wl2,exc,20170813,1,2,12800
grn,hrv,20170813,3,3,19255
rdj,vit,20170818,1,3,12004
twn,vvv,20170819,1,2,23800
az1,adh,20170819,2,0,12749
hrv,hrc,20170819,1,1,18300
exc,fyn,20170820,0,1, 4400
ajx,grn,20170820,3,1,51152
utr,wl2,20170820,2,0,16093
nac,psv,20170820,1,4,18788
spr,pzw,20170820,1,1,10012
nac,spr,20170825,2,2,17912
vit,az1,20170826,1,2,15131
adh,hrv,20170826,1,2, 7902
pzw,twn,20170826,2,0,12800
hrc,exc,20170826,2,2,10067
fyn,wl2,20170827,5,0,47500
vvv,ajx,20170827,0,2, 8000
psv,rdj,20170827,2,0,32200
grn,utr,20170827,2,1,16032
hrc,fyn,20170909,2,4,11331
wl2,adh,20170909,1,2,11123
ajx,pzw,20170909,3,0,50902
exc,vit,20170909,0,3, 4100
hrv,psv,20170910,2,0,22345
utr,rdj,20170910,2,0,19042
az1,nac,20170910,2,1,12511
spr,twn,20170910,1,0,10034
grn,vvv,20170910,1,1,15832
spr,az1,20170915,0,2,10210
exc,hrv,20170916,1,2, 4034
rdj,wl2,20170916,1,3,16688
nac,grn,20170916,2,1,18563
pzw,hrc,20170916,2,1,12500
psv,fyn,20170917,1,0,35000
adh,ajx,20170917,1,1,12016
twn,utr,20170917,4,0,24200
vit,vvv,20170917,1,1,15000
wl2,hrv,20170923,1,2,10740
fyn,nac,20170923,0,2,47500
hrc,rdj,20170923,2,1, 9943
adh,spr,20170923,1,0, 9641
utr,psv,20170924,1,7,22006
ajx,vit,20170924,1,2,51236
grn,twn,20170924,1,0,20110
vvv,pzw,20170924,1,1, 6621
az1,exc,20170924,0,2,12527
twn,hrc,20170929,2,1,27100
nac,adh,20170931,0,1,18523
psv,wl2,20170930,4,0,31565
pzw,grn,20170930,3,2,13160
exc,vvv,20170930,0,2, 3704
az1,fyn,20171001,0,4,14000
hrv,ajx,20171001,0,4,25600
vit,utr,20171001,1,1,15432
spr,rdj,20171001,1,2, 9834
ajx,spr,20171014,4,0,51567
rdj,nac,20171014,1,0,12230
fyn,pzw,20171014,0,0,47500
utr,hrv,20171014,3,1,17771
hrc,vit,20171015,1,1,11164
vvv,psv,20171015,2,5, 8000
grn,az1,20171015,1,1,17680
wl2,twn,20171015,3,1,12019
adh,exc,20171015,1,2,10805
grn,wl2,20171020,0,1,16394
nac,pzw,20171021,0,2,18423
exc,spr,20171021,1,1, 4400
vvv,adh,20171021,0,2, 6532
twn,rdj,20171021,3,0,23600
psv,hrc,20171022,3,0,32800
fyn,ajx,20171022,1,4,47500
az1,utr,20171022,3,0,14056
hrv,vit,20171022,0,4,21034
twn,exc,20171027,1,3,23200
rdj,fyn,20171028,1,1,13491
hrc,vvv,20171028,3,0,10364
wl2,ajx,20171028,1,3,13907
pzw,adh,20171028,2,0,13030
vit,psv,20171029,2,4,18232
utr,nac,20171029,2,2,20123
spr,grn,20171029,2,1,10010
hrv,az1,20171029,1,2,19136
spr,hrv,20171103,0,0,10231
az1,wl2,20171104,3,2,14613
hrc,grn,20171104,2,1,10411
exc,rdj,20171104,1,0, 4086
vvv,nac,20171104,0,0, 6521
adh,fyn,20171105,2,2,13870
ajx,utr,20171105,1,2,51758
vit,pzw,20171105,0,0,18349
psv,twn,20171105,4,3,33040
fyn,vvv,20171118,1,1,47500
twn,hrv,20171118,0,4,25600
nac,ajx,20171118,0,8,18969
wl2,spr,20171118,2,2,11511
adh,hrc,20171119,4,1,11175
pzw,psv,20171119,0,1,13250
utr,exc,20171119,3,1,18336
grn,vit,20171119,4,2,17263
rdj,az1,20171119,0,1,12411
az1,twn,20171124,2,0,14601
vvv,wl2,20171125,3,3, 6782
grn,fyn,20171125,0,2,20294
hrc,nac,20171125,2,1,10626
hrv,pzw,20171125,1,2,20832
ajx,rdj,20171126,5,1,51000
exc,psv,20171126,1,2, 4400
spr,utr,20171126,1,3,10432
vit,adh,20171126,2,0,14754
pzw,utr,20171101,1,1,13250
twn,ajx,20171102,3,3,27500
adh,grn,20171102,0,3,10416
fyn,vit,20171102,1,0,47500
wl2,hrc,20171102,3,1,11230
vvv,az1,20171103,0,2, 6353
psv,spr,20171103,1,0,33000
rdj,hrv,20171103,2,1,10482
nac,exc,20171103,3,1,18340
wl2,nac,20171208,1,1,14400
hrv,vvv,20171209,2,2,18893
az1,hrc,20171209,5,0,13863
exc,pzw,20171209,1,2, 4069
twn,adh,20171209,2,3,23600
rdj,grn,20171210,2,2,10515
ajx,psv,20171210,3,0,52379
nac,twn,20171212,1,2,17589
pzw,az1,20171212,1,1,12875
grn,psv,20171213,3,3,20103
vit,wl2,20171213,2,2,13961
vvv,utr,20171213,0,1, 5778
fyn,hrv,20171213,1,1,40000
adh,rdj,20171213,3,2, 9151
hrc,spr,20171214,3,2, 9203
ajx,exc,20171214,3,1,51695
twn,vit,20171216,1,1,23600
rdj,vvv,20171216,0,1,13189
psv,adh,20171216,3,0,32700
hrv,nac,20171216,1,0,19361
wl2,pzw,20171216,2,3,12900
exc,grn,20171217,2,0, 3808
az1,ajx,20171217,1,2,16900
utr,hrc,20171217,1,1,16859
spr,fyn,20171217,0,7,10400
adh,pzw,20171222,4,0,11107
nac,utr,20171223,3,1,18769
psv,vit,20171223,2,1,33800
az1,hrv,20171223,3,1,15012
exc,twn,20171223,0,0, 4369
grn,spr,20171224,4,0,17617
ajx,wl2,20171224,3,1,51921
vvv,hrc,20171224,3,1, 7528
fyn,rdj,20171224,5,1,40000
spr,vit,20180116,0,1, 9258 # inhaalwedstrijd van 10 dec (sneeuw)
utr,az1,20180119,1,1,18457
rdj,twn,20180120,1,1,12475
adh,vvv,20180120,1,1,11008
pzw,nac,20180120,1,0,13120
vit,hrv,20180120,1,1,15363
spr,exc,20180121,2,3,10224
ajx,fyn,20180121,2,0,53320
wl2,grn,20180121,1,1,12160
hrc,psv,20180121,1,2,11211
utr,fyn,20180124,1,1,22111 # inhaalwedstrijd van 10 dec (sneeuw)
hrv,spr,20180126,2,1,18790
grn,hrc,20180127,3,3,17526
