1956-1957:
title, Topscorers Eredivisie
 1, Coen Dillen, psv, 43
 2, Van der Gijp, fyn, 32
 3, Van der Linden, dos, 27
1957-1958:
title, Topscorers Eredivisie
 1, Canjels, nac, 32
 2, Van der Linden, dos, 29
 3, Coen Dillen, psv, 28
1958-1959:
title, Topscorers Eredivisie
 1, Canjels, nac, 34
 2, Lammers, dos, 26
 3, Kruin, elk, 25
1959-1960:
title, Topscorers Eredivisie
 1, Henk Groot, ajx, 38
 2, Coen Dillen, psv, 31
 3, Cees Groot, ajx, 29
1960-1961:
title, Topscorers Eredivisie
 1, Henk Groot, ajx, 41
 2, Van der Gijp, fyn, 29
 3, Den Oude, dws, 25
1961-1962:
title, Topscorers Eredivisie
 1, Tol, vol, 27
 2, Rutten, rpj, 25
 3, Schuurman, ado, 24
1962-1963:
title, Topscorers Eredivisie
 1, Kerkhoffs, psv, 22
 2, Bodnar, spr, 20
 3, Cees Groot, ajx, 18
 3, Henk Groot, ajx, 18
1963-1964:
title, Topscorers Eredivisie
 1, Geurtsen, dws, 28
 2, Kruiver, fyn, 24
 2, Van der Linden, dos, 24
1964-1965:
title, Topscorers Eredivisie
 1, Geurtsen, dws, 23
 2, Willy van der Kuijlen, psv, 20
 3, Kohn, f54, 19
1965-1966:
title, Topscorers Eredivisie
 1, Willy van der Kuijlen, psv, 23
 1, Kruiver, fyn, 23
 3, Bosveld, spr, 18
 3, Wery, dos, 18
1966-1967:
title, Topscorers Eredivisie
 1, Johan Cruijff, ajx, 33
 2, Sjaak Swart, ajx, 24
 2, Bild, fyn, 24
1967-1968:
title, Topscorers Eredivisie
 1, Ove Kindvall, fyn, 28
 2, Willem van Hanegem, xd6, 26
 3, Johan Cruijff, ajx, 25
1968-1969:
title, Topscorers Eredivisie
 1, Dick van Dijk, twn, 30
 1, Ove Kindvall, fyn, 30
 3, Johan Cruijff, ajx, 24
1969-1970:
title, Topscorers Eredivisie
 1, Willy van der Kuijlen, psv, 26
 2, Ove Kindvall, fyn, 23
