league,round,team1,team2,dd,result,star,stadium
supercup,,PTpor,ESval,20040827,1-2,2,Monaco
CL,v3,ATgrz,NLajx,20030812,1-1,-1,
CL,v3,NLajx,ATgrz,20030827,2-1,4,
CL,gC,NLpsv,FRmnc,20030917,1-2,,
CL,gC,GRaek,ESdlc,20030917,1-1,,
CL,gC,ESdlc,NLpsv,20030930,2-0,,
CL,gC,FRmnc,GRaek,20030930,4-0,,
CL,gC,GRaek,NLpsv,20031021,0-1,,
CL,gC,ESdlc,FRmnc,20031021,1-0,,
CL,gC,NLpsv,GRaek,20031105,2-0,,
CL,gC,FRmnc,ESdlc,20031105,8-3,,
CL,gC,ESdlc,GRaek,20031125,3-0,,
CL,gC,FRmnc,NLpsv,20031125,1-1,,
CL,gC,NLpsv,ESdlc,20031210,3-2,,
CL,gC,GRaek,FRmnc,20031210,0-0,,
CL,gH,ITmln,NLajx,20030916,1-0,,
CL,gH,BEcbr,EScdv,20030916,1-1,,
CL,gH,NLajx,BEcbr,20031001,2-0,,
CL,gH,EScdv,ITmln,20031001,0-0,,
CL,gH,NLajx,EScdv,20031022,1-0,,
CL,gH,ITmln,BEcbr,20031022,0-1,,
CL,gH,EScdv,NLajx,20031104,3-2,,
CL,gH,BEcbr,ITmln,20031104,0-1,,
CL,gH,NLajx,ITmln,20031126,0-1,,
CL,gH,EScdv,BEcbr,20031126,1-1,,
CL,gH,BEcbr,NLajx,20031209,2-1,,
CL,gH,ITmln,EScdv,20031209,1-2,,
CL,4f,PTpor,FRoly,20040323,2-0,-1,
CL,4f,FRoly,PTpor,20040407,2-2,1,
CL,4f,ITmln,ESdlc,20040323,4-1,-1,
CL,4f,ESdlc,ITmln,20040407,4-0,2,
CL,4f,ESrmd,FRmnc,20040324,4-2,-1,
CL,4f,FRmnc,ESrmd,20040406,3-1,2,
CL,4f,G1cls,G1ars,20040324,1-1,-1,
CL,4f,G1ars,G1cls,20040406,1-2,1,
CL,2f,PTpor,ESdlc,20040421,0-0,-1,
CL,2f,ESdlc,PTpor,20040504,0-1,1,
CL,2f,FRmnc,G1cls,20040420,3-1,-1,
CL,2f,G1cls,FRmnc,20040505,2-2,1,
CL,f,PTpor,FRmnc,20040526,3-0,1,Gelsenkirchen
UEFAcup,intertoto,NLhrv,ESvlr,20030812,1-2,-1,
UEFAcup,intertoto,ESvlr,NLhrv,20030826,0-0,2,
UEFAcup,intertoto,ATpsc,DEs04,20030812,0-2,-1,
UEFAcup,intertoto,DEs04,ATpsc,20030826,0-0,2,
UEFAcup,intertoto,ITprg,DEvwl,20030812,1-0,-1,
UEFAcup,intertoto,DEvwl,ITprg,20030826,0-2,1,
UEFAcup,round1,G1nwc,NLnac,20030924,5-0,-1,
UEFAcup,round1,NLnac,G1nwc,20031015,0-1,1,
UEFAcup,round1,NLutr,SKzln,20030924,2-0,-1,
UEFAcup,round1,SKzln,NLutr,20031015,0-4,1,
UEFAcup,round1,PLwkr,NLnec,20030925,2-1,-1,
UEFAcup,round1,NLnec,PLwkr,20031015,1-2,1,
UEFAcup,round1,NLfyn,ATkrt,20030925,2-1,-1,
UEFAcup,round1,ATkrt,NLfyn,20031015,0-1,1,
UEFAcup,16f,NLutr,FRaux,20031106,0-0,-1,
UEFAcup,16f,FRaux,NLutr,20031127,4-0,2,
UEFAcup,16f,NLfyn,CZtpl,20031106,0-2,-1,
UEFAcup,16f,CZtpl,NLfyn,20031127,1-1,2,
UEFAcup,round3,ITprg,NLpsv,20040225,0-0,-1,
UEFAcup,round3,NLpsv,ITprg,20040303,3-1,2,
UEFAcup,8f,FRaux,NLpsv,20040311,1-1,-1,
UEFAcup,8f,NLpsv,FRaux,20040325,3-0,2,
UEFAcup,4f,NLpsv,G1nwc,20040408,1-1,-1,
UEFAcup,4f,G1nwc,NLpsv,20040414,2-1,2,
UEFAcup,4f,FRomr,ITiml,20040408,1-0,-1,
UEFAcup,4f,ITiml,FRomr,20040414,0-1,1,
UEFAcup,4f,G2clt,ESvlr,20040408,1-1,-1,
UEFAcup,4f,ESvlr,G2clt,20040414,2-0,2,
UEFAcup,4f,FRgbr,ESval,20040408,1-2,-1,
UEFAcup,4f,ESval,FRgbr,20040414,2-1,2,
UEFAcup,2f,G1nwc,FRomr,20040422,0-0,-1,
UEFAcup,2f,FRomr,G1nwc,20040506,2-0,2,
UEFAcup,2f,ESvlr,ESval,20040422,0-0,-1,
UEFAcup,2f,ESval,ESvlr,20040506,1-0,2,
UEFAcup,f,ESval,FRomr,20040519,2-0,1,Gothenburg
