league,round,team1,team2,dd,result,star,stadium,remark
supercup,,ESbcl,PTpor,20110826,2-0,1,,
CL,v3,NLtwn,ROvsl,20110726,2-0,-1,Arnhem,
CL,v3,ROvsl,NLtwn,20110803,0-0,1,,
CL,po,NLtwn,PTbnf,20110816,2-2,-1,,
CL,po,PTbnf,NLtwn,20110824,3-1,2,,
CL,gD,NLajx,FRoly,20110914,0-0,,,
CL,gD,HRdzg,ESrmd,20110914,0-1,,,
CL,gD,ESrmd,NLajx,20110927,3-0,,,
CL,gD,FRoly,HRdzg,20110927,2-0,,,
CL,gD,HRdzg,NLajx,20111018,0-2,,,
CL,gD,ESrmd,FRoly,20111018,4-0,,,
CL,gD,NLajx,HRdzg,20111102,4-0,,,
CL,gD,FRoly,ESrmd,20111102,0-2,,,
CL,gD,FRoly,NLajx,20111122,0-0,,,
CL,gD,ESrmd,HRdzg,20111122,6-2,,,
CL,gD,NLajx,ESrmd,20111207,0-3,,,
CL,gD,HRdzg,FRoly,20111207,1-7,,,
CL,4f,FRomr,DEbmn,20120328,0-2,-1,,
CL,4f,DEbmn,FRomr,20120403,2-0,2,,
CL,4f,CYapl,ESrmd,20120327,0-3,-1,,
CL,4f,ESrmd,CYapl,20120404,5-2,2,,
CL,4f,PTbnf,G1cls,20120327,0-1,-1,,
CL,4f,G1cls,PTbnf,20120404,2-1,2,,
CL,4f,ITmln,ESbcl,20120328,0-0,-1,,
CL,4f,ESbcl,ITmln,20120403,3-1,2,,
CL,2f,DEbmn,ESrmd,20120417,2-1,-1,,
CL,2f,ESrmd,DEbmn,20120425,2-1,5,,
CL,2f,G1cls,ESbcl,20120418,1-0,-1,,
CL,2f,ESbcl,G1cls,20120424,2-2,1,,
CL,f,G1cls,DEbmn,20120519,1-1,5,M&uuml;nchen,
EL,v2,LTtrs,NLadh,20110714,2-3,-1,,
EL,v2,NLadh,LTtrs,20110721,2-0,2,,
EL,v3,CYomm,NLadh,20110728,3-0,-1,,
EL,v3,NLadh,CYomm,20110804,1-0,1,,
EL,v3,NLaz1,CZjbl,20110728,2-0,-1,,
EL,v3,CZjbl,NLaz1,20110804,1-1,1,,
EL,po,ATrid,NLpsv,20110818,0-0,-1,,
EL,po,NLpsv,ATrid,20110825,5-0,2,,
EL,po,NOals,NLaz1,20110818,2-1,-1,,
EL,po,NLaz1,NOals,20110825,6-0,2,,
EL,gC,NLpsv,PLlgw,20110915,1-0,,,
EL,gC,ILhta,ROrpb,20110915,0-1,,,
EL,gC,PLlgw,ILhta,20110929,3-2,,,
EL,gC,ROrpb,NLpsv,20110929,1-3,,,
EL,gC,ROrpb,PLlgw,20111020,0-1,,,
EL,gC,ILhta,NLpsv,20111020,0-1,,,
EL,gC,PLlgw,ROrpb,20111103,3-1,,,
EL,gC,NLpsv,ILhta,20111103,3-3,,,
EL,gC,ROrpb,ILhta,20111130,1-3,,,
EL,gC,PLlgw,NLpsv,20111130,0-3,,,
EL,gC,NLpsv,ROrpb,20111215,2-1,,,
EL,gC,ILhta,PLlgw,20111215,2-0,,,
EL,gG,NLaz1,SEmlm,20110915,4-1,,,
EL,gG,ATawn,UAmkh,20110915,1-2,,,
EL,gG,UAmkh,NLaz1,20110929,1-1,,,
EL,gG,SEmlm,ATawn,20110929,1-2,,,
EL,gG,NLaz1,ATawn,20111020,2-2,,,
EL,gG,SEmlm,UAmkh,20111020,1-4,,,
EL,gG,ATawn,NLaz1,20111103,2-2,,,
EL,gG,UAmkh,SEmlm,20111103,3-1,,,
EL,gG,UAmkh,ATawn,20111130,4-1,,,
EL,gG,SEmlm,NLaz1,20111130,0-0,,,
EL,gG,NLaz1,UAmkh,20111215,1-1,,,
EL,gG,ATawn,SEmlm,20111215,2-0,,,
EL,gK,G1flh,NLtwn,20110915,1-1,,,
EL,gK,PLwkr,DKodn,20110915,1-3,,,
EL,gK,NLtwn,PLwkr,20110929,4-1,,,
EL,gK,DKodn,G1flh,20110929,0-2,,,
EL,gK,DKodn,NLtwn,20111020,1-4,,,
EL,gK,PLwkr,G1flh,20111020,1-0,,,
EL,gK,NLtwn,DKodn,20111103,3-2,,,
EL,gK,G1flh,PLwkr,20111103,4-1,,,
EL,gK,NLtwn,G1flh,20111201,1-0,,,
EL,gK,DKodn,PLwkr,20111201,1-2,,,
