#<empty header>
supercup,G1lvp,G1cls,20190814,2,2,5
CL,v2,NLpsv,CHbsl,20190723,3,2,20190730,2,1,2
CL,v3,GRpks,NLajx,20190806,2,2,20190813,3,2,2
CL,po,CYapl,NLajx,20190820,0,0,20190828,2,0,2
CL,gH,NLajx,FRlll,20190917,3,0
CL,gH,G1cls,ESval,20190917,0,1
CL,gH,ESval,NLajx,20191002,0,3
CL,gH,FRlll,G1cls,20191002,1,2
CL,gH,NLajx,G1cls,20191023,0,1
CL,gH,FRlll,ESval,20191023,1,1
CL,gH,G1cls,NLajx,20191105,4,4
CL,gH,ESval,FRlll,20191105,4,1
CL,gH,FRlll,NLajx,20191127,0,2
CL,gH,ESval,G1cls,20191127,2,2
CL,gH,NLajx,ESval,20191210,0,1
CL,gH,G1cls,FRlll,20191210,2,1
EL,v2,NLaz1,DKhck,20190725,0,0,20190801,0,3,1
EL,v2,NLutr,BAzrn,20190725,1,1,20190801,2,1,4
EL,v3,NLfyn,GEdtb,20190808,4,0,20190815,1,1,1
EL,v3,NOhgs,NLpsv,20190808,0,1,20190815,0,0,2
EL,v3,UAmrp,NLaz1,20190808,0,0,20190815,4,0,2
EL,po,NLfyn,ILhbs,20190822,3,0,20190829,0,3,1
EL,po,NLpsv,CYapp,20190822,3,0,20190829,0,4,1
EL,po,NLaz1,BEant,20190822,1,1,20190829,1,4,3
EL,gD,NLpsv,PTspl,20190919,3,2
EL,gD,ATlnz,NOros,20190919,1,0
EL,gD,PTspl,ATlnz,20191003,2,1
EL,gD,NOros,NLpsv,20191003,1,4
EL,gD,NLpsv,ATlnz,20191024,0,0
EL,gD,PTspl,NOros,20191024,1,0
EL,gD,ATlnz,NLpsv,20191107,4,1
EL,gD,NOros,PTspl,20191107,0,2
EL,gD,PTspl,NLpsv,20191128,4,0
EL,gD,NOros,ATlnz,20191129,1,2
EL,gD,NLpsv,NOros,20191212,1,1
EL,gD,ATlnz,PTspl,20191212,3,0
EL,gG,G2glr,NLfyn,20190919,1,0
EL,gG,PTpor,CHybs,20190919,2,1
EL,gG,NLfyn,PTpor,20191003,2,0
EL,gG,CHybs,G2glr,20191003,2,1
EL,gG,PTpor,G2glr,20191024,1,1
EL,gG,CHybs,NLfyn,20191024,2,0
EL,gG,NLfyn,CHybs,20191107,1,1
EL,gG,G2glr,PTpor,20191107,2,0
EL,gG,CHybs,PTpor,20191128,1,2
EL,gG,NLfyn,G2glr,20191128,2,2
EL,gG,PTpor,NLfyn,20191212,3,2
EL,gG,G2glr,CHybs,20191212,1,1
EL,gL,RSpbg,NLaz1,20190919,2,2
EL,gL,G1mnu,KZast,20190919,1,0
EL,gL,KZast,RSpbg,20191003,1,2
EL,gL,NLaz1,G1mnu,20191003,0,0
EL,gL,NLaz1,KZast,20191024,6,0
EL,gL,RSpbg,G1mnu,20191024,0,1
EL,gL,KZast,NLaz1,20191107,0,5
EL,gL,G1mnu,RSpbg,20191107,3,0
EL,gL,KZast,G1mnu,20191128,2,1
EL,gL,NLaz1,RSpbg,20191128,2,2
EL,gL,G1mnu,NLaz1,20191212,4,0
EL,gL,RSpbg,KZast,20191212,4,1
EL,16f,ESgtf,NLajx,20200220,2,0,20200227,2,1,1
EL,16f,NLaz1,ATlnz,20200220,1,1,20200227,2,0,2
