DH,distance,ranking,name,team,result,remark
H,500m,1,USchk,,34.82 BR;34.94,
H,500m,2,RUdrf,,35.24;35.17,
H,500m,3,KRksl,,35.34;35.09,
H,500m,4,JPokw,,35.35;35.21,
H,500m,5,CNfty,,35.39;35.23,
H,500m,6,JPkat,,35.59;35.19,
H,500m,7,CAirl,,35.59;35.29,
H,500m,9,CAwsp,,35.37;35.68,
H,500m,10,FIksk,,35.58;35.51,
H,500m,11,NLbos,,35.68;35.43,
H,500m,12,USfrd,,35.78;35.34,
H,500m,14,RUlbk,,35.55;35.62,
H,500m,16,NLwnn,,35.46;35.84,
H,500m,23,NLkpr,,36.1;35.74,
H,500m,35,NLnnh,,48.84;35.71,
H,1000m,1,USdvs,,68.89,BR
H,1000m,2,USchk,,69.16,
H,1000m,3,NLwnn,,69.32,
H,1000m,4,KRkhl,,69.37,
H,1000m,5,NLbos,,69.42,
H,1000m,6,UShdr,,69.45,
H,1000m,7,RUllk,,69.46,
H,1000m,8,NLgrt,,69.57,
H,1000m,9,USfrd,,69.59,
H,1000m,10,RUdrf,,69.74,
H,1000m,11,CAwsp,,69.76,
H,1000m,12,NLnnh,,69.85,
H,1500m,1,ITfbr,,105.97,BR
H,1500m,2,USdvs,,106.13,
H,1500m,3,UShdr,,106.22,
H,1500m,4,NLkpr,,106.58,
H,1500m,5,NLwnn,,106.71,
H,1500m,6,RUskb,,106.91,
H,1500m,7,NOand,,107.15,
H,1500m,8,NOfll,,107.28,
H,1500m,9,USchk,,107.52,
H,1500m,10,NOwtt,,107.78,
H,1500m,15,NLkrm,,108.36,
H,1500m,20,NLbos,,108.61,
H,5km,1,UShdr,,374.68,BR
H,5km,2,NLkrm,,376.4,
H,5km,3,ITfbr,,378.25,
H,5km,4,NLvrh,,378.84,
H,5km,5,CAdnk,,381.26,
H,5km,6,NLdjg,,382.12,
H,5km,7,USdvs,,383.08,
H,5km,8,NOgrd,,384.21,
H,5km,9,NOstr,,385.15,
H,5km,10,NOerv,,386.91,
H,5km,11,RUskb,,387.02,
H,5km,13,BEvld,,392.02,
H,10km,1,NLdjg,,781.57,BR
H,10km,2,UShdr,,785.4,
H,10km,3,NLvrh,,788.8,
H,10km,4,NOgrd,,792.58,
H,10km,5,NOstr,,792.93,
H,10km,6,RUskb,,797.54,
H,10km,7,NLkrm,,798.14,
H,10km,8,ITfbr,,801.54,
H,10km,9,CAdnk,,803.55,
H,10km,10,SErjl,,809.5,
H,10km,11,NOerv,,817.62,
H,10km,12,ITsnf,,821.91,
H,10km,14,BEvld,,828.12,
D,500m,1,RUzjr,,38.23 BR;38.34,
D,500m,2,CNmwg,,38.31;38.47,
D,500m,3,CNhrn,,38.6;38.27,
D,500m,4,JPokz,,38.46;38.46,
D,500m,5,KRshl,,38.69;38.35,
D,500m,6,DEwlf,,38.7;38.55,
D,500m,7,CNbwg,,38.71;38.56,
D,500m,8,JPosg,,38.74;38.65,
D,500m,9,JPysh,,38.68;38.75,
D,500m,10,ITsmn,,39.02;38.66,
D,500m,11,USrdr,,38.97;38.73,
D,500m,12,NLagt,,39.12;38.97,
D,500m,14,NLsta,,39.26;39.33,
D,1000m,1,NLtmm,,76.05,BR
D,1000m,2,CAkls,,76.09,
D,1000m,3,DEfrs,,76.11,
D,1000m,4,NLwst,,76.39,
D,1000m,5,CAgrv,,76.54,
D,1000m,6,NLdlr,,76.73,
D,1000m,7,RUzjr,,77.13,
D,1000m,8,PLwjc,,77.28,
D,1000m,9,RUabr,,77.33,
D,1000m,10,USrdr,,77.47,
D,1000m,13,ITsmn,,77.53,
D,1000m,23,NLagt,,78.33,
D,1000m,27,USwtt,,78.7,
D,1500m,1,CAkls,,115.27,BR
D,1500m,2,CAgrv,,116.74,
D,1500m,3,NLwst,,116.9,
D,1500m,4,DEfrs,,117.31,
D,1500m,5,ITsmn,,118.76,
D,1500m,6,RUlbs,,118.87,
D,1500m,7,CAnbt,,119.15,
D,1500m,8,USrdr,,119.3,
D,1500m,9,NLgrn,,119.33,
D,1500m,10,DEans,,119.74,
D,1500m,13,NLdtk,,120.15,
D,1500m,14,NLtmm,,120.45,
D,3km,1,NLwst,,242.43,
D,3km,2,NLgrn,,243.48,
D,3km,3,CAkls,,244.37,
D,3km,4,DEfrs,,244.59,
D,3km,5,DEpch,,245.54,
D,3km,6,DEans,,246.89,
D,3km,7,CZsbl,,248.42,
D,3km,8,CAgrv,,249.03,
D,3km,9,CAhgh,,249.17,
D,3km,10,PLwjc,,249.61,
D,3km,11,USrny,,250.44,
D,3km,12,CNfwg,,250.55,
D,3km,17,NLkln,,253.81,
D,5km,1,CAhgh,,419.07,BR
D,5km,2,DEpch,,420.08,
D,5km,3,CAkls,,420.57,
D,5km,4,CZsbl,,421.38,
D,5km,5,DEans,,422.82,
D,5km,6,CAgrv,,423.95,
D,5km,7,USrny,,424.91,
D,5km,8,NOmhg,,426.08,
D,5km,9,NLgrn,,431.32,
D,5km,10,NLklb,,432.18,
D,5km,11,JPish,,432.48,
D,5km,12,ATrkt,,436.75,
D,5km,13,JPtbt,,438.05,
