chapter,url,description
html,http://www.handleidinghtml.nl/,www.handleidinghtml.nl
html,http://www.selfhtml.org,selfhtml.org
html,http://www.w3.org/TR/,Technische documentatie bij W3C
html,http://wsabstract.com,wsabstract.com
html,http://www.webreference.com,webreference.com
html,http://www.htmlcenter.com,htmlcenter.com
html,http://www.jsworkshop.com,www.jsworkshop.com
html,anybrowser.html,Special characters in HTML
io_std,http://www.w3.org/TR/xmlschema-0/,XML-Schema
io_std,https://cfconventions.org/,NetCDF Climate and Forecast (CF) Metadata Convention
fortran,http://www.nsc.liu.se/~boein/f77to90/f77to90.html,Fortran 90 for the Fortran 77 Programmer
fortran,http://www.star.le.ac.uk/~cgp/f90course/f90.html,Fortran 90 for the Fortran 77 Programmer II
fortran,https://polyhedron.com/?page_id=175,Compiler Comparisons
perl,http://www.perl.com/,perl.com
perl,http://perldoc.perl.org/,documentation
perl,http://perldoc.perl.org/index-faq.html,FAQ
perl,http://perldoc.perl.org/index-functions.html,overzicht perl functies
versiebeheer,http://wiht.link/CVS-resources,CVS
versiebeheer,https://git-scm.com/,Git
versiebeheer,http://subversion.apache.org/,Subversion
versiebeheer,http://svnbook.red-bean.com/,svnbook
versiebeheer,http://en.wikipedia.org/wiki/Comparison_of_issue_tracking_systems,Vergelijking bij wikipedia
overig,http://www.allenware.com/,demo-cursus Batch-files en HTML
overig,https://www.archive.org/,Way back machine
overig,https://mindprod.com/jgloss/unmain.html,How to write unmaintainable code
overig,http://www.squarebox.co.uk/javatips.html,Tips for maintainable Java code
overig,http://www.pha.jhu.edu/sysadmin/security/ssh-users.html,Getting started with SSH
