phase,team1,team2,dd,result,star,stadium,remark
supercup,ajx,psv,20210807,0-4,2,Arena,
8f,grn,nec,20220119,1-2,2,,
8f,hrv,gae,20220118,0-1,2,,
8f,psv,tlr,20220120,2-1,1,,
8f,nac,pzw,20220119,2-1,1,,
8f,rkc,adh,20220118,4-2,3,,
8f,twn,az1,20220119,1-2,2,,
8f,ajx,exm,20220120,9-0,1,,
8f,vit,dvs,20220118,2-0,1,,
4f,nec,gae,20220210,0-2,2,,
4f,psv,nac,20220208,4-0,1,,
4f,rkc,az1,20220209,0-4,2,,
4f,ajx,vit,20220209,5-0,1,,
2f,gae,psv,20220302,1-2,2,,
2f,az1,ajx,20220303,0-2,2,,
f,psv,ajx,20220417,-,,De Kuip,
