# empty header
title,Eerste Divisie (Toto Divisie)
dbs,34,23, 8, 3,77,80,35,K;RP
grn,34,19, 7, 8,64,69,33,PD
emm,34,19, 4,11,61,53,37,PD
hlm,34,16, 7,11,55,55,52,PD
zwl,34,15, 9,10,54,57,42,PD
exc,34,16, 6,12,54,74,63,PD
gae,34,14, 8,12,50,59,57
vol,34,14, 7,13,49,63,66
end,34,14, 6,14,48,64,73
adh,34,12, 9,13,45,52,52
vvv,34,12, 6,16,42,59,66
rbc,34,11, 7,16,40,54,65
vnd,34,11, 6,17,39,47,54
drd,34,11, 5,18,38,51,66,PD
hrl,34, 9,11,14,38,45,67
top,34, 9,10,15,37,43,50
hrc,34, 9, 7,18,34,37,58
tlr,34, 5,11,18,26,45,71
