club id,matches,wins,draws,losses,points,goals scored,goals against,remark
vol,38,22,11, 5,77,90,46,K;RP;P4
rkc,38,22,11, 5,77,84,44,PD;P2
dbs,38,21, 7,10,70,61,37,PD;P1
zwl,38,18,13, 7,67,70,42,PD;P5
mvv,38,16,12,10,60,66,50,PD
adh,38,16,10,12,58,58,50,PDP
hlm,38,17, 7,14,58,53,52,PD
top,38,15,10,13,55,58,61,PD
emm,38,14,11,13,53,61,74,
gae,38,16, 3,19,51,60,64,PD;P3
rbc,38,13,10,15,49,46,49,
drd,38,12,11,15,47,59,52,
omn,38,11,14,13,47,56,55,
tls,38,14, 4,20,46,41,51,
vnd,38,11,14,13,44,57,67,
fst,38,10,10,18,40,48,69,
cmb,38,10, 9,19,39,50,68,
ago,38,12, 5,21,38,66,98,
end,38, 8, 8,22,32,49,83,
hrl,38, 5,14,19,29,39,60,
