club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
wl2,38,24, 7, 7,79 ,78,38,K;RP
drd,38,21,10, 7,73 ,83,50,PDP
exc,38,18,12, 8,66 ,70,39,PD
dbs,38,18, 8,12,62 ,61,60,PD
vvv,38,18, 7,13,61 ,58,52,PD
end,38,18, 6,14,60 ,69,60,PD
grf,38,16,10,12,58 ,67,48,PD
fst,38,15,11,12,56 ,59,45,PD
vol,38,16, 8,14,56 ,67,71,
ps2,38,15, 9,14,54 ,62,57,
mvv,38,15, 8,15,53 ,46,46,
emm,38,14, 9,15,51 ,64,68,
hlm,38,13,12,13,51 ,62,67,
aj2,38,15, 5,18,50 ,57,72,
tlr,38,13, 6,19,45 ,50,79,
spr,38,12, 8,18,44 ,58,51,PD
tw2,38,12, 7,19,43 ,47,61,
omn,38,11, 8,19,41 ,49,65,
oss,38, 9, 4,25,31 ,49,78,
ach,38, 6, 7,25,25 ,40,89,
