season,key,value
1993-1994,title,Eerste Divisie
1994-1995,title,Eerste Divisie
1995-1996,title,Eerste Divisie
1996-1997,title,Eerste Divisie
1997-1998,title,Eerste Divisie (Toto Divisie)
1998-1999,title,Eerste Divisie (Toto Divisie)
1999-2000,title,Eindstand Eerste Divisie (Toto divisie)
2000-2001,title,Eindstand Eerste Divisie (Gouden Gids Divisie)
2001-2002,title,Eindstand Eerste Divisie (Gouden Gids Divisie)
2002-2003,title,Eindstand Eerste Divisie (Gouden Gids Divisie)
2003-2004,title,Eindstand Eerste Divisie (Gouden Gids Divisie)
2004-2005,title,Eindstand Eerste Divisie (Gouden Gids Divisie)
2005-2006,title,Eindstand Eerste Divisie (Gouden Gids Divisie)
2006-2007,title,Eindstand Eerste Divisie (Jupiler League)
2007-2008,title,Eindstand Eerste Divisie (Jupiler League)
2008-2009,title,Eindstand Eerste Divisie (Jupiler League)
2009-2010,title,Eindstand Eerste Divisie (Jupiler League)
2010-2011,title,Eindstand Eerste Divisie (Jupiler League)
2011-2012,title,Eindstand Eerste Divisie (Jupiler League)
2012-2013,title,Eindstand Eerste Divisie (Jupiler League)
2013-2014,title,Eindstand Eerste Divisie (Jupiler League)
2014-2015,title,Eindstand Eerste Divisie (Jupiler League)
2015-2016,title,Eindstand Eerste Divisie (Jupiler League)
2017-2018,title,Eindstand Eerste Divisie (Jupiler League)
2018-2019,title,Eindstand Eerste Divisie (Keuken Kampioen Divisie)
2019-2020,title,Eindstand Eerste Divisie (Keuken Kampioen Divisie)
2020-2021,title,Eindstand Eerste Divisie (Keuken Kampioen Divisie)
