season,rank,name,club,total
2000-2001, 1, Jansen, top, 30
2000-2001, 2, Van den Eede, dbs, 23
2000-2001, 3, Boogers, drd, 19
2000-2001, 3, Henar, hlm, 19
2000-2001, 5, Cvetkov, vnd, 18
2000-2001, 6, Simr, exc, 17
2000-2001, 7, Boussaboun, adh, 15
2000-2001, 7, MacDonald, end, 15
2000-2001, 7, Van Arum, gae, 15
2000-2001, 7, Van Oostrum, Telstar/Emmen, 15
2001-2002, 1, Cvetkov, vnd, 22
2001-2002, 2, Den Ouden, rbc, 20
2001-2002, 2, Ten Heuvel, tls, 20
2001-2002, 2, Hofstede, vvv, 20
2001-2002, 5, Roy Stroeve, hrc, 17
2001-2002, 6, Van Eijkeren, adh, 16
2001-2002, 6, Bruin, cmb, 16
2001-2002, 6, Boogers, drd, 16
2001-2002, 6, De Vries, drd, 16
2001-2002,10, Thomas Buffel, exc, 15
2001-2002,10, Lopes, exc, 15
2001-2002,10, Taiwo, mvv, 15
2001-2002,10, Vos, rbc, 15
2001-2002,10, Buys, vol, 15
2002-2003, 1, De Groot, emm, 30
2002-2003, 2, Platvoet, hrc, 26
2002-2003, 3, koevermans, spr, 25
2002-2003, 4, Jansen, dbs, 20
2002-2003, 5, Bruin, cmb, 19
2002-2003, 6, Yildirim, gae, 18
2002-2003, 7, Roy Stroeve, adh, 17
2002-2003, 7, Van de Laak, dbs, 17
2002-2003, 7, Ronald Hamming, fst, 17
2002-2003,10, Jacobs, vvv, 16
2003-2004, 1, huntelaar, ago, 26
2003-2004, 2, Jansen, dbs, 25
2003-2004, 3, Rose, hrc, 22
2003-2004, 4, Hamming, vnd, 21
2003-2004, 5, Yildirim, gae, 19
2003-2004, 6, El Hamdaoui, exc, 17
2003-2004, 7, Van den Bergh, spr, 17
2003-2004, 8, Jacobs, vvv, 16
2003-2004, 9, Van de Laak, dbs, 16
2003-2004,10, koevermans, spr, 15
2004-2005, 1, koevermans, spr, 24
2004-2005, 2, v.d. Bergh, spr, 22
2004-2005, 2, Mustapha, spr, 22
2004-2005, 4, Cvetkov, hlm, 19
2004-2005, 5, Derksen, fst, 18
2004-2005, 6, Hamming, vnd, 16
2004-2005, 7, Hofstede, vvv, 15
2004-2005, 7, Kantelberg, tls, 15
2004-2005, 9, Lopes Monteiro, ago, 13
2004-2005, 9, Tamerus, hrc, 13
2004-2005, 9, Muhamadu, mvv, 13
2004-2005, 9, Berger, zwl, 13
2005-2006, 1, Berry Powel, dbs, 19
2005-2006, 2, Santi Kolk, zwl, 18
2005-2006, 2, Mourad Mghizrat, emm, 18
2005-2006, 2, Sergio van Dijk, emm, 18
2005-2006, 5, Sjoerd Ars, omn, 17
2005-2006, 5, Wasiu Taiwo, fst, 17
2005-2006, 7, Gonzalo Garcia-Garcia, ago, 16
2005-2006, 8, Cecilio Lopes, drd, 15
2005-2006, 8, Hilmi Mihci, dbs, 15
2005-2006, 8, terheide, ago, 15
2006-2007, 1, Berry Powel, grf, 29
2006-2007, 2, Harrie Gommans, mvv, 22
2006-2007, 3, Jhon van Beukering, grf, 21
2006-2007, 4, Cecilio Lopes, drd, 20
2006-2007, 5, Dirk Jan Derksen, vvv, 19
2006-2007, 6, Sjoerd Ars, gae, 18
2006-2007, 6, Jan Bruin, tls, 18
2006-2007, 8, terheide, ago, 17
2006-2007, 9, Achmed Ahahaoui, hrl, 15
2006-2007, 9, Danny Guijt, rbc, 15
2007-2008, 1, tuyp, vol, 26
2007-2008, 2, thiebaut, mvv, 22
2007-2008, 3, terheide, ago, 19
2007-2008, 4, Van der Biezen, dbs, 18
2007-2008, 5, Caracciolo, end, 17
2007-2008, 6, Quekel, top, 16
2008-2009, 1, calabro, vvv, 25
2008-2009, 2, thiebaut, mvv, 20
2008-2009, 3, koc, end, 18
2008-2009, 3, plet, tlr, 18
2008-2009, 5, ars, rbc, 17
2008-2009, 6, honda, vvv, 16
2008-2009, 7, bokila, ago, 14
2008-2009, 7, terheide, cmb, 14
2009-2010, 1, deleeuw, vnd, 25
2009-2010, 2, voskamp, hlm, 22
2009-2010, 3, devries, cmb, 21
2009-2010, 3, plet, tlr, 21
2009-2010, 5, caracciolo, dbs, 19
2009-2010, 6, chadli, ago, 17
