round,land1,land2,dd,time,result,spectators,star,stadium,remark
gA,FR,RO,20160610,2100,2-1,80000,,St. Denis,
gA,AL,CH,20160611,1500,0-1,33805,,Lens,
gA,RO,CH,20160615,1800,1-1,43576,,Parijs,
gA,FR,AL,20160615,2100,2-0,65000,,Marseille,
gA,CH,FR,20160619,2100,0-0,45000,,Lille,
gA,RO,AL,20160619,2100,0-1,50000,,Lyon,
gB,G3,SK,20160611,1800,2-1,37831,,Bordeaux,
gB,G1,RU,20160611,2100,1-1,62343,,Marseille,
gB,RU,SK,20160615,1500,1-2,38989,,Lille,
gB,G1,G3,20160616,1500,2-1,34033,,Lens,
gB,SK,G1,20160620,2100,0-0,40000,,St. Etienne,
gB,RU,G3,20160620,2100,0-3,28840,,Toulouse,
gC,PL,G4,20160612,1800,1-0,33742,,Nice,
gC,DE,UA,20160612,2100,2-0,50000,,Lille,
gC,UA,G4,20160616,1800,0-2,51043,,Lyon,
gC,DE,PL,20160616,2100,0-0,75000,,St. Denis,
gC,G4,DE,20160621,1800,0-1,44125,,Parijs,
gC,UA,PL,20160621,1800,0-1,58874,,Marseille,
gD,TR,HR,20160612,1500,0-1,43842,,Parijs,
gD,ES,CZ,20160613,1500,1-0,29400,,Toulouse,
gD,CZ,HR,20160617,1800,2-2,38376,,St. Etienne,
gD,ES,TR,20160617,2100,3-0,33409,,Nice,
gD,HR,ES,20160621,2100,2-1,40000,,Bordeaux,
gD,CZ,TR,20160621,2100,0-2,30000,,Lens,
gE,IE,SE,20160613,1800,1-1,73419,,St. Denis,
gE,BE,IT,20160613,2100,0-2,53000,,Lyon,
gE,IT,SE,20160617,1500,1-0,29600,,Toulouse,
gE,BE,IE,20160618,1500,3-0,39493,,Bordeaux,
gE,SE,BE,20160622,2100,0-1,33000,,Nice,
gE,IT,IE,20160622,2100,0-1,45000,,Lille,
gF,AT,HU,20160614,1800,0-2,34424,,Bordeaux,
gF,PT,IS,20160614,2100,1-1,40000,,St. Etienne,
gF,IS,HU,20160618,1800,1-1,60842,,Marseille,
gF,PT,AT,20160618,2100,0-0,44291,,Parijs,
gF,IS,AT,20160622,1800,2-1,68714,,St. Denis,
gF,HU,PT,20160622,1800,3-3,     ,,Lyon,ref=HU_PT
8f,CH,PL,20160625,1500,1-1,38842,6,St. Etienne,
8f,HR,PT,20160625,2100,0-1,33523,4,Lens,
8f,G3,G4,20160625,1800,1-0,44342,1,Parijs,
8f,HU,BE,20160626,2100,0-4,     ,2,Toulouse,ref=HU_BE
8f,DE,SK,20160626,1800,3-0,44312,1,Lille,
8f,IT,ES,20160627,1800,2-0,76165,1,St. Denis,
8f,FR,IE,20160626,1500,2-1,56279,1,Lyon,
8f,G1,IS,20160627,2100,1-2,30000,2,Nice,
4f,PL,PT,20160630,2100,1-1,62000,6,Marseille,
4f,G3,BE,20160701,2100,3-1,45000,1,Lille,
4f,DE,IT,20160702,2100,1-1,40000,5,Bordeaux,
4f,FR,IS,20160703,2100,5-2,     ,1,St. Denis,ref=FR_IS
2f,PT,G3,20160706,2100,2-0,     ,1,Lyon,ref=PT_WALES
2f,DE,FR,20160707,2100,0-2,     ,2,Marseille,ref=DE_FR
f,PT,FR,20160710,2100,1-0,      ,3,St. Denis,ref=PT_FR
