round,land1,land2,dd,time,result,spectators,stadium,remark
gA,TR,IT,20210611,2100,0-3,15948,Rome,
gA,G3,CH,20210612,1500,1-1,8782,Bakoe,
gA,TR,G3,20210616,1800,0-2,19762,Bakoe,
gA,IT,CH,20210616,2100,3-0,12445,Rome,
gA,CH,TR,20210620,1800,3-1,17138,Bakoe,
gA,IT,G3,20210620,1800,1-0,11541,Rome,
gB,DK,FI,20210612,1800,0-1,11000,Kopenhagen,
gB,BE,RU,20210612,2100,3-0,27500,St. Petersburg,
gB,FI,RU,20210616,1500,0-1,24540,St. Petersburg,
gB,DK,BE,20210617,1800,1-2,23395,Kopenhagen,
gB,RU,DK,20210621,2100,1-4,23644,Kopenhagen,
gB,FI,BE,20210621,2100,0-2,18545,St. Petersburg,
gC,AT,MK,20210613,1800,3-1,9082,Boekarest,
gC,NL,UA,20210613,2100,3-2,15000,Amsterdam,ref=NL_UA
gC,UA,MK,20210617,1500,2-1,10001,Boekarest,
gC,NL,AT,20210617,2100,2-0,16000,Amsterdam,ref=NL_AT
gC,MK,NL,20210621,1800,0-3,15227,Amsterdam,ref=MK_NL
gC,UA,AT,20210621,1800,0-1,10472,Boekarest,
gD,G1,HR,20210613,1500,1-0,18497,Londen,
gD,G2,CZ,20210614,1500,0-2,9847,Glasgow,
gD,HR,CZ,20210618,1800,1-1,5607,Glasgow,
gD,G1,G2,20210618,2100,0-0,22500,Londen,
gD,HR,G2,20210622,2100,3-1,12000,Glasgow,
gD,CZ,G1,20210622,2100,0-1,25000,Londen,
gE,PL,SK,20210614,1800,1-2,12862,St. Petersburg,
gE,ES,SE,20210614,2100,0-0,12517,Sevilla,
gE,SE,SK,20210618,1500,1-0,11525,St. Petersburg,
gE,ES,PL,20210619,2100,1-1,11742,Sevilla,
gE,SK,ES,20210623,1800,-,,Sevilla,
gE,SE,PL,20210623,1800,-,,St. Petersburg,
gF,HU,PT,20210615,1800,0-3,55662,Boedapest,
gF,FR,DE,20210615,2100,1-0,14500,M&uuml;nchen,
gF,HU,FR,20210619,1500,1-1,55998,Boedapest,
gF,PT,DE,20210619,1800,2-4,12926,M&uuml;nchen,
gF,PT,FR,20210623,2100,-,,Boedapest,
gF,DE,HU,20210623,2100,-,,M&uuml;nchen,
