round,land1,land2,dd,time,result,spectators,stadium,remark,star
gA,DE,G2,20240614,2100,5-1,65052,M&uuml;nchen,ref=DE_SCT,
gA,HU,CH,20240615,1500,1-3,41676,Keulen,,
gA,DE,HU,20240619,1800,2-0,54000,Stuttgart,,
gA,G2,CH,20240619,2100,1-1,42711,Keulen,,
gA,CH,DE,20240623,2100,1-1,46685,Frankfurt,,
gA,G2,HU,20240623,2100,0-1,46685,Stuttgart,,
gB,ES,HR,20240615,1800,3-0,68844,Berlijn,,
gB,IT,AL,20240615,2100,2-1,60512,Dortmund,,
gB,HR,AL,20240619,1500,2-2,46784,Hamburg,,
gB,ES,IT,20240620,2100,1-0,49528,Gelsenkirchen,,
gB,HR,IT,20240624,2100,1-1,38322,Leipzig,,
gB,AL,ES,20240624,2100,0-1,46586,D&uuml;sseldorf,,
gC,SI,DK,20240616,1800,1-1,54000,Stuttgart,,
gC,RS,G1,20240616,2100,0-1,48953,Gelsenkirchen,,
gC,SI,RS,20240620,1500,1-1,63028,M&uuml;nchen,,
gC,DK,G1,20240620,1800,1-1,46177,Frankfurt,,
gC,G1,SI,20240625,2100,0-0,41536,Keulen,,
gC,DK,RS,20240625,2100,0-0,64288,M&uuml;nchen,,
gD,PL,NL,20240616,1500,1-2,48117,Hamburg,ref=PL_NL,
gD,AT,FR,20240617,2100,0-1,46425,D&uuml;sseldorf,,
gD,PL,AT,20240621,1800,1-3,69455,Berlijn,,
gD,NL,FR,20240621,2100,0-0,38531,Leipzig,ref=NL_FR,
gD,NL,AT,20240625,1800,2-3,68363,Berlijn,ref=NL_AT,
gD,FR,PL,20240625,1800,1-1,59728,Dortmund,,
gE,RO,UA,20240617,1500,3-0,61591,M&uuml;nchen,,
gE,BE,SK,20240617,1800,0-1,45181,Frankfurt,,
gE,SK,UA,20240621,1500,1-2,43910,D&uuml;sseldorf,,
gE,BE,RO,20240622,2100,2-0,42535,Keulen,,
gE,SK,RO,20240626,1800,1-1,45033,Frankfurt,,
gE,UA,BE,20240626,1800,0-0,54000,Stuttgart,,
gF,TR,GE,20240618,1800,3-1,59127,Dortmunt,,
gF,PT,CZ,20240618,2100,2-1,38421,Leipzig,,
gF,GE,CZ,20240622,1500,1-1,46524,Hamburg,,
gF,TR,PT,20240622,1800,0-3,61047,Dortmund,,
gF,GE,PT,20240626,2100,2-0,49616,Gelsenkirchen,,
gF,CZ,TR,20240626,2100,1-2,47683,Hamburg,,
8f,ES,GE,20240630,2100,4-1,42233,Keulen,,1
8f,DE,DK,20240629,2100,2-0,61612,Dortmund,,1
8f,PT,SI,20240701,2100,0-0,46576,Frankfort,,5
8f,FR,BE,20240701,1800,1-0,46810,D&uuml;sseldorf,,1
8f,G1,SK,20240630,1800,2-1,47244,Gelsenkirchen,,3
8f,CH,IT,20240629,1800,2-0,68172,Berlijn,,1
8f,RO,NL,20240702,1800,0-3,65012,M&uuml;nchen,ref=RO_NL,2
8f,AT,TR,20240702,2100,1-2,38305,Leipzig,,2
4f,ES,DE,20240705,1800,2-1,54000,Stuttgart,,1
4f,PT,FR,20240705,2100,0-0,47789,Hamburg,,6
4f,G1,CH,20240706,1800,1-1,46907,D&uuml;sseldorf,,5
4f,NL,TR,20240706,2100,2-1,70091,Berlijn,ref=NL_TR,1
2f,ES,FR,20240709,2100,2-1,62042,M&uuml;nchen,,1
2f,NL,G1,20240710,2100,1-2,60926,Dortmund,ref=NL_ENG,2
f,ES,G1,20240714,2100,2-1,65600,Berlijn,ref=ES_ENG,1
