round,land1,land2,dd,time,result,spectators,star,stadium,remark
gA,ZA,MX,20100611,1600,1-1,84490,,Johannesburg,
gA,UY,FR,20100611,2030,0-0,64100,,Kaapstad,
gA,ZA,UY,20100616,2030,0-3,42658,,Pretoria,
gA,FR,MX,20100617,2030,0-2,35370,,Polokwane,
gA,MX,UY,20100622,1600,0-1,33425,,Rustenburg,
gA,FR,ZA,20100622,1600,1-2,39415,,Bloemfontein,
gB,AR,NG,20100612,1600,1-0,55686,,Johannesburg,
gB,KR,GR,20100612,1330,2-0,31513,,Port Elizabeth,
gB,GR,NG,20100617,1600,2-1,31593,,Bloemfontein,
gB,AR,KR,20100617,1330,4-1,82174,,Johannesburg,
gB,NG,KR,20100622,2030,2-2,60000,,Durban,
gB,GR,AR,20100622,2030,0-2,35000,,Polokwane,
gC,G1,US,20100612,2030,1-1,38646,,Rustenburg,
gC,DZ,SI,20100613,1330,0-1,30325,,Polokwane,
gC,SI,US,20100618,1600,2-2,45573,,Johannesburg,
gC,G1,DZ,20100618,2030,0-0,64100,,Kaapstad,
gC,SI,G1,20100623,1600,0-1,36893,,Port Elizabeth,
gC,US,DZ,20100623,1600,1-0,35827,,Pretoria,
gD,DE,AU,20100613,2030,4-0,65000,,Durban,
gD,RS,GH,20100613,1600,0-1,38833,,Pretoria,
gD,DE,RS,20100618,1330,0-1,38294,,Port Elizabeth,
gD,GH,AU,20100619,1600,1-1,34812,,Rustenburg,
gD,GH,DE,20100623,2030,0-1,83391,,Johannesburg,
gD,AU,RS,20100623,2030,2-1,35000,,Nelspruit,
gE,NL,DK,20100614,1330,2-0,     ,,Johannesburg,ref=NL_DK
gE,JP,CM,20100614,1600,1-0,30620,,Bloemfontein,
gE,NL,JP,20100619,1330,1-0,     ,,Durban,ref=NL_JP
gE,CM,DK,20100619,2030,1-2,38074,,Pretoria,
gE,DK,JP,20100624,2030,1-3,27967,,Rustenburg,
gE,CM,NL,20100624,2030,1-2,     ,,Kaapstad,ref=CM_NL
gF,IT,PY,20100614,2030,1-1,65000,,Kaapstad,
gF,NZ,SK,20100615,1330,1-1,23871,,Rustenburg,
gF,IT,NZ,20100620,1600,1-1,38229,,Nelspruit,
gF,SK,PY,20100620,1330,0-2,26643,,Bloemfontein,
gF,SK,IT,20100624,1600,3-2,53412,,Johannesburg,
gF,PY,NZ,20100624,1600,0-0,34850,,Polokwane,
gG,BR,KP,20100615,2030,2-1,54331,,Johannesburg,
gG,CI,PT,20100615,1600,0-0,37034,,Port Elizabeth,
gG,BR,CI,20100620,2030,3-1,84455,,Johannesburg,
gG,PT,KP,20100621,1330,7-0,     ,,Kaapstad,ref=PT_KP
gG,KP,CI,20100625,1600,0-3,34763,,Nelspruit,
gG,PT,BR,20100625,1600,0-0,62712,,Durban,
gH,HN,CL,20100616,1330,0-1,32664,,Nelspruit,
gH,ES,CH,20100616,1600,0-1,62453,,Durban,
gH,ES,HN,20100621,2030,2-0,54386,,Johannesburg,
gH,CL,CH,20100621,1600,1-0,34872,,Port Elizabeth,
gH,CH,HN,20100625,2030,0-0,28042,,Bloemfontein,
gH,CL,ES,20100625,2030,1-2,41958,,Pretoria,
8f,UY,KR,20100626,1600,2-1,30597,1,Port Elizabeth,
8f,US,GH,20100626,2030,1-2,34976,4,Rustenburg,
8f,NL,SK,20100628,1600,2-1,     ,1,Durban,ref=NL_SK
8f,BR,CL,20100628,2030,3-0,54096,1,Johannesburg,
8f,AR,MX,20100627,2030,3-1,84377,1,Johannesburg,
8f,DE,G1,20100627,1600,4-1,40510,1,Bloemfontein,
8f,PY,JP,20100629,1600,0-0,36742,5,Pretoria,
8f,ES,PT,20100629,2030,1-0,62955,1,Kaapstad,
4f,UY,GH,20100702,2030,1-1,84017,5,Johannesburg,
4f,NL,BR,20100702,1600,2-1,     ,1,Port Elizabeth,ref=NL_BR
4f,AR,DE,20100703,1600,0-4,64100,2,Kaapstad,
4f,PY,ES,20100703,2030,0-1,55359,2,Johannesburg,
2f,UY,NL,20100706,2030,2-3,     ,2,Kaapstad,ref=UY_NL
2f,DE,ES,20100707,2030,0-1,     ,2,Durban,ref=DE_ES
f34,DE,UY,20100710,2030,3-2,    ,1,Port Elizabeth,ref=DE_UY
f,ES,NL,20100711,2030,1-0,      ,3,Johannesburg,ref=ES_NL
