round,land1,land2,dd,result,star,stadium,remark
g5,CZ,MT,19940906,6-1,,,
g5,LU,NL,19940907,0-4,,,
g5,NO,BY,19940907,1-0,,,
g5,MT,CZ,19941012,0-0,,,
g5,BY,LU,19941012,2-0,,,
g5,NO,NL,19941012,1-1,,,
g5,BY,NO,19941116,0-4,,,
g5,NL,CZ,19941116,0-0,,,
g5,NL,LU,19941214,5-0,,,
g5,MT,NO,19941214,0-1,,,
g5,MT,LU,19950222,0-1,,,
g5,NL,MT,19950329,4-0,,,
g5,CZ,BY,19950329,4-2,,,
g5,LU,NO,19950329,0-2,,,
g5,CZ,NL,19950426,3-1,,,
g5,BY,MT,19950426,1-1,,,
g5,NO,LU,19950426,5-0,,,
g5,BY,NL,19950607,1-0,,,
g5,LU,CZ,19950607,1-0,,,
g5,NO,MT,19950607,2-0,,,
g5,NO,CZ,19950816,1-1,,,
g5,NL,BY,19950906,1-0,,,
g5,CZ,NO,19950906,2-0,,,
g5,LU,MT,19950906,1-0,,,
g5,BY,CZ,19951007,0-2,,,
g5,MT,NL,19951011,0-4,,,
g5,LU,BY,19951011,0-0,,,
g5,MT,BY,19951112,0-2,,,
g5,CZ,LU,19951115,3-0,,,
g5,NL,NO,19951115,3-0,,,
po,NL,IE,19951215,2-0,1,Anfield Road in Liverpool,twee goals van Kluivert
