round,land1,land2,dd,result,star
g3,AT,MD,20020907,2-0,
g3,NL,BY,20020907,3-0,
g3,MD,CZ,20021012,0-2,
g3,BY,AT,20021012,0-2,
g3,CZ,BY,20021016,2-0,
g3,AT,NL,20021016,0-3,
g3,BY,MD,20030329,2-1,
g3,NL,CZ,20030329,1-1,
g3,CZ,AT,20030402,4-0,
g3,MD,NL,20030402,1-2,
g3,MD,AT,20030607,1-0,
g3,BY,NL,20030607,0-2,
g3,CZ,MD,20030611,5-0,
g3,AT,BY,20030611,5-0,
g3,NL,AT,20030906,3-1,
g3,BY,CZ,20030906,1-3,
g3,CZ,NL,20030910,3-1,
g3,MD,BY,20030910,2-1,
g3,AT,CZ,20031011,2-3,
g3,NL,MD,20031011,5-0,
po,G2,NL,20031115,1-0,
po,NL,G2,20031119,6-0,1
po,LV,TR,20031115,1-0,
po,TR,LV,20031119,2-2,2
po,HR,SI,20031115,1-1,
po,SI,HR,20031119,0-1,2
po,RU,G3,20031115,0-0,
po,G3,RU,20031119,0-1,2
po,ES,NO,20031115,2-1,
po,NO,ES,20031119,0-3,2
