round,land1,land2,dd,result,remark
gA,CZ,NL,20140916,2-1,
gA,KZ,LV,20140916,0-0,
gA,IS,TR,20140916,3-0,
gA,NL,KZ,20141010,3-1,
gA,TR,CZ,20141010,1-2,
gA,LV,IS,20141010,0-3,
gA,IS,NL,20141013,2-0,
gA,LV,TR,20141013,1-1,
gA,KZ,CZ,20141013,2-4,
gA,NL,LV,20141116,6-0,
gA,TR,KZ,20141116,3-1,
gA,CZ,IS,20141116,2-1,
gA,NL,TR,20150328,1-1,
gA,KZ,IS,20150328,0-3,
gA,CZ,LV,20150328,1-1,
gA,LV,NL,20150612,0-2,
gA,KZ,TR,20150612,0-1,
gA,IS,CZ,20150612,2-1,
gA,NL,IS,20150903,0-1,debuut Danny Blind als bondcoach
gA,CZ,KZ,20150903,2-1,
gA,TR,LV,20150903,1-1,
gA,TR,NL,20150906,3-0,
gA,LV,CZ,20150906,1-2,
gA,IS,KZ,20150906,0-0,
gA,KZ,NL,20151010,1-2,
gA,IS,LV,20151010,2-2,
gA,CZ,TR,20151010,0-2,
gA,NL,CZ,20151013,2-3,
gA,TR,IS,20151013,1-0,
gA,LV,KZ,20151013,0-1,
