round,land1,land2,dd,result,star,remark
g7,SM,G3,19960602,0-5,,
g7,G3,SM,19960831,6-0,,
g7,BE,TR,19960831,2-1,,
g7,G3,NL,19961005,1-3,,
g7,SM,BE,19961009,0-3,,
g7,NL,G3,19961109,7-1,,
g7,TR,SM,19961110,7-0,,
g7,BE,NL,19961214,0-3,,
g7,G3,TR,19961215,0-0,,
g7,NL,SM,19970329,4-0,,
g7,G3,BE,19970329,1-2,,
g7,TR,NL,19970402,1-0,,Seedorf mist strafschop
g7,SM,NL,19970430,0-6,,
g7,TR,BE,19970430,1-3,,
g7,BE,SM,19970607,6-0,,
g7,TR,G3,19970820,6-4,,
g7,NL,BE,19970906,3-1,,
g7,SM,TR,19970910,0-5,,
g7,NL,TR,19971011,0-0,,
g7,BE,G3,19971011,3-2,,
po,HR,UA,19971029,2-0,,
po,UA,HR,15/16 nov '97,1-1,2,
po,RU,IT,19971029,1-1,,
po,IT,RU,15/16 nov '97,1-0,1,
po,IE,BE,19971029,1-1,,
po,BE,IE,15/16 nov '97,2-1,1,
po,HU,YU,19971029,1-7,,
po,YU,HU,15/16 nov '97,5-0,1,
