phase,land,remark
qf,FR,titelverdediger
qf,JP,gastland
qf,KR,gastland
qf,PL,Europa
qf,SE,Europa
qf,ES,Europa
qf,IT,Europa
qf,RU,Europa
qf,HR,Europa
qf,G1,Europa
qf,PT,Europa
qf,DK,Europa
qf,SI,Europa
qf,TR,Europa
qf,DE,Europa
qf,BE,Europa
qf,IE,Europa
qf,CM,Afrika
qf,NG,Afrika
qf,SN,Afrika
qf,ZA,Afrika
qf,TN,Afrika
qf,AR,Zuid-Amerika
qf,PY,Zuid-Amerika
qf,EC,Zuid-Amerika
qf,BR,Zuid-Amerika
qf,UY,Zuid-Amerika
qf,CR,Midden/Noord-Amerika (Concacaf)
qf,MX,Midden/Noord-Amerika (Concacaf)
qf,US,Midden/Noord-Amerika (Concacaf)
qf,CN,Azi&euml;/Oceani&euml;
qf,SA,Azi&euml;/Oceani&euml;
