
phase,land,remark
qf,DE,gastland
qf,NL,winnaar Europese groep 1
qf,UA,winnaar Europese groep 2
qf,G1,winnaar Europese groep 6
qf,PL,nr. 2 Europese groep 6
qf,HR,winnaar Europese groep 8
qf,IT,winnaar Europese groep 5
qf,PT,winnaar Europese groep 3
qf,SE,nr. 2 Europese groep 8
qf,CS,winnaar Europese groep 7
qf,FR,winnaar Europese groep 4
qf,ES,nr. 2 Europese groep 7
qf,CZ,nr. 2 Europese groep 1
qf,CH,nr. 2 Europese groep 4
qf,AO,Afrika
qf,GH,Afrika
qf,TG,Afrika
qf,CI,Afrika
qf,TN,Afrika
qf,AR,winnaar Zuid-Amerikaanse groep
qf,BR,nr. 2 Zuid-Amerikaanse groep
qf,EC,nr. 3 Zuid-Amerikaanse groep
qf,PY,nr. 4 Zuid-Amerikaanse groep
qf,AU,Oceani&euml;
qf,JP,Azi&euml;
qf,KR,Azi&euml;
qf,IR,Azi&euml;
qf,SA,Azi&euml;
qf,US,winnaar Noord- en Midden-Amerikaanse groep
qf,MX,nr. 2 Noord- en Midden-Amerikaanse groep
qf,CR,nr. 3 Noord- en Midden-Amerikaanse groep
qf,TT,nr. 4 Noord- en Midden-Amerikaanse groep
