round,land1,land2,dd,result,star
gD,NL,TR,20120907,2-0,
gD,EE,RO,20120907,0-2,
gD,AD,HU,20120907,0-5,
gD,RO,AD,20120911,4-0,
gD,TR,EE,20120911,3-0,
gD,HU,NL,20120911,1-4,
gD,NL,AD,20121012,3-0,
gD,TR,RO,20121012,0-1,
gD,EE,HU,20121012,0-1,
gD,RO,NL,20121016,1-4,
gD,AD,EE,20121016,0-1,
gD,HU,TR,20121016,3-1,
gD,NL,EE,20130322,3-0,
gD,HU,RO,20130322,2-2,
gD,AD,TR,20130322,0-2,
gD,EE,AD,20130326,2-0,
gD,TR,HU,20130326,1-1,
gD,NL,RO,20130326,4-0,
gD,TR,AD,20130906,5-0,
gD,RO,HU,20130906,3-0,
gD,EE,NL,20130906,2-2,
gD,RO,TR,20130910,0-2,
gD,HU,EE,20130910,5-1,
gD,AD,NL,20130910,0-2,
gD,AD,RO,20131011,0-4,
gD,EE,TR,20131011,0-2,
gD,NL,HU,20131011,8-1,
gD,TR,NL,20131015,0-2,
gD,RO,EE,20131015,2-0,
gD,HU,AD,20131015,2-0,
po,PT,SE,20131115,1-0,
po,SE,PT,20131119,2-3,2
po,UA,FR,20131115,2-0,
po,FR,UA,20131119,3-0,1
po,GR,RO,20131115,3-1,
po,RO,GR,20131119,1-1,2
po,IS,HR,20131115,0-0,
po,HR,IS,20131119,2-0,1
