round,land1,land2,dd,result,stadium,remark
gA,BG,LU,20160906,4-3,,
gA,BY,FR,20160906,0-0,,
gA,SE,NL,20160906,1-1,,
gA,NL,BY,20161007,4-1,Rotterdam (de Kuip),
gA,FR,BG,20161007,4-1,,
gA,LU,SE,20161007,0-1,,
gA,NL,FR,20161010,0-1,Amsterdam (Arena),
gA,BY,LU,20161010,1-1,,
gA,SE,BG,20161010,3-0,,
gA,FR,SE,20161111,2-1,,
gA,BG,BY,20161113,1-0,,
gA,LU,NL,20161113,1-3,,
gA,SE,BY,20170325,4-0,,
gA,BG,NL,20170325,2-0,,
gA,LU,FR,20170325,1-3,,
gA,NL,LU,20170609,5-0,Rotterdam (de Kuip), # zelf aanwezig
gA,BY,BG,20170609,2-1,,
gA,SE,FR,20170609,2-1,,
gA,BG,SE,20170831,3-2,,
gA,FR,NL,20170831,4-0,,rood Strootman
gA,LU,BY,20170831,1-0,,
gA,NL,BG,20170903,3-1,,
gA,BY,SE,20170903,0-4,,
gA,FR,LU,20170903,0-0,,
gA,BY,NL,20171007,1-3,,
gA,SE,LU,20171007,8-0,,
gA,BG,FR,20171007,0-1,,
gA,NL,SE,20171010,2-0,,
gA,LU,BG,20171010,1-1,,
gA,FR,BY,20171010,2-1,,
