round,land1,land2,dd,result
gG,TR,NL,20210324,4-2
gG,LV,ME,20210324,1-2
gG,GI,NO,20210324,0-3
gG,NL,LV,20210327,2-0
gG,ME,GI,20210327,4-1
gG,NO,TR,20210327,0-3
gG,GI,NL,20210330,0-7
gG,TR,LV,20210303,3-3
gG,ME,NO,20210303,0-1
gG,NO,NL,20210901,1-1
gG,TR,ME,20210901,2-2
gG,LV,GI,20210901,3-1
gG,NL,ME,20210904,4-0
gG,LV,NO,20210904,0-2
gG,GI,TR,20210904,0-3
gG,NL,TR,20210907,6-1
gG,NO,GI,20210907,5-1
gG,ME,LV,20210907,0-0
gG,LV,NL,20211008,0-1
gG,TR,NO,20211008,1-1
gG,GI,ME,20211008,0-3
gG,NL,GI,20211011,-
gG,NO,ME,20211011,-
gG,LV,TR,20211011,-
gG,ME,NL,20211113,-
gG,NL,NO,20211116,-
