club id,matches,wins,draws,losses,points,goals scored,goals against
psv,34,21,11, 2,53,74,21
ajx,34,20, 9, 5,49,85,36
az6,34,19, 9, 6,47,75,30
twn,34,18, 9, 7,45,61,32
spr,34,14,12, 8,40,54,33
rdj,34,12,12,10,36,41,40
vol,34,13, 8,13,34,50,58
utr,34,11,11,12,33,40,45
vit,34,10,13,11,33,48,62
fyn,34,10,12,12,32,52,47
nac,34,10,11,13,31,37,51
adh,34,11, 6,17,28,45,57
hrl,34, 8,12,14,28,37,55
nec,34,10, 8,16,28,39,59
vvv,34, 9,10,15,28,46,66
gae,34,11, 5,18,27,49,53
ams,34, 9, 8,17,26,41,73
tlr,34, 3, 8,23,14,25,81
