club_id,matches,wins,draws,losses,points,goals_scored,goals_against
az6,34,27, 6, 1,60,101,30
ajx,34,22, 4, 8,48, 88,54
utr,34,18, 9, 7,45, 67,33
fyn,34,18, 9, 7,45, 74,48
psv,34,18, 8, 8,44, 62,31
twn,34,16, 7,11,39, 60,49
spr,34,15, 6,13,36, 75,71
mvv,34,12,10,12,34, 53,65
zwl,34,10,10,14,30, 42,49
wl2,34,11, 7,16,29, 49,69
rdj,34, 9,10,15,28, 67,75
gae,34,10, 8,16,28, 63,75
nac,34, 9, 9,16,27, 46,66
adh,34,12, 3,19,27, 53,79
grn,34, 8, 9,17,25, 49,72
nec,34, 6,13,15,25, 38,63
exc,34, 5,11,18,21, 39,67
wag,34, 6, 9,19,21, 33,63
