# empty header
title,Eindstand Eredivisie
ajx,34,26, 6, 2,58,106,41
fyn,34,22,10, 2,54, 72,39
psv,34,21, 9, 4,51, 80,34
spr,34,12,13, 9,37, 64,52
grn,34,11,15, 8,37, 67,57
rdj,34,13, 9,12,35, 56,52
hrl,34,13, 9,12,35, 49,53
fst,34,11,11,12,33, 41,48
exc,34,13, 6,15,32, 44,47
utr,34,11, 9,14,31, 51,57
az6,34,11, 8,15,30, 49,40
gae,34, 9,11,14,29, 44,59
zwl,34,10, 7,17,27, 40,58
wl2,34, 9, 8,17,26, 49,62
hlm,34, 8,10,16,26, 44,70
twn,34, 7,11,16,25, 36,60
nac,34, 6,12,16,24, 39,75
nec,34, 4,14,16,22, 34,61
