club1,club2,dd,result,remark
twn,fyn,19920815,0-5,
vol,vit,19920815,1-1,
spr,rkc,19920815,0-0,
fst,mvv,19920815,1-1,
utr,dbs,19920815,1-1,
grn,wl2,19920815,1-1,
psv,rdj,19920815,2-0,
drd,ajx,19920815,0-3,
gae,cmb,19920815,1-1,
dbs,drd,19920822,2-0,
mvv,utr,19920822,0-3,
wl2,twn,19920822,0-1,
fyn,fst,19920822,4-1,
vit,grn,19920822,0-0,
cmb,spr,19920822,0-0,
ajx,gae,19920822,3-1,
rdj,vol,19920822,1-0,
rdj,vit,19920828,0-2,
drd,mvv,19920829,2-2,
vol,rkc,19920829,0-2,
twn,grn,19920829,5-0,
spr,ajx,19920829,0-0,
utr,fyn,19920829,0-0,
fst,wl2,19920829,0-1,
gae,dbs,19920829,2-0,
dbs,spr,19920902,1-1,
psv,cmb,19920902,3-0,
wl2,utr,19920905,1-2,
fyn,drd,19920905,3-0,
vit,twn,19920905,0-1,
cmb,vol,19920905,0-0,
ajx,psv,19920905,1-2,
mvv,gae,19920905,3-0,
rkc,rdj,19920905,1-4,
grn,fst,19920905,2-1,
fst,twn,19920911,0-2,
utr,grn,19920912,1-0,
rkc,vit,19920912,0-0,
psv,dbs,19920912,7-0,
gae,fyn,19920912,1-1,
drd,wl2,19920912,0-2,
spr,mvv,19920912,0-0,
twn,utr,19920926,5-1,
wl2,gae,19920926,2-1,
cmb,rkc,19920926,0-2,
fyn,spr,19920926,2-2,
vit,fst,19920926,5-0,
ajx,rdj,19920926,4-2,
dbs,vol,19920926,0-5,
grn,drd,19920926,3-0,
mvv,psv,19920926,1-5,
rdj,dbs,19921002,4-1,
drd,twn,19921003,0-0,
cmb,vit,19921003,1-3,
spr,wl2,19921003,1-0,
vol,mvv,19921003,1-2,
utr,fst,19921003,4-0,
gae,grn,19921003,0-0,
psv,fyn,19921003,1-1,
rkc,ajx,19921003,0-5,
rkc,psv,19921007,0-3,
rdj,cmb,19921011,3-2,
twn,gae,19921017,4-0,
wl2,psv,19921017,1-1,
vit,utr,19921017,1-1,
fyn,vol,19921017,2-0,
ajx,cmb,19921017,3-1,
fst,drd,19921017,0-2,
grn,spr,19921017,1-2,
mvv,rdj,19921017,2-1,
dbs,rkc,19921017,1-3,
gae,fst,19921024,4-2,
psv,grn,19921024,3-0,
rkc,mvv,19921024,0-3,
cmb,dbs,19921024,2-1,
fyn,rkc,19921031,4-1,
wl2,rdj,19921031,1-0,
vit,drd,19921031,3-0,
twn,psv,19921031,1-2,
mvv,cmb,19921031,1-3,
grn,vol,19921031,2-1,
fst,spr,19921031,1-0,
utr,gae,19921031,0-2,
dbs,ajx,19921031,2-2,
rdj,grn,19921106,4-2,
gae,drd,19921107,2-1,
dbs,vit,19921107,0-0,
rkc,wl2,19921107,0-0,
psv,fst,19921107,5-0,
vol,twn,19921107,1-1,
spr,utr,19921107,1-3,
cmb,fyn,19921107,0-1,
ajx,mvv,19921107,2-2,
fyn,ajx,19921114,0-3,
drd,spr,19921114,0-0,
vit,gae,19921114,2-2,
wl2,cmb,19921114,4-0,
twn,rdj,19921114,4-0,
fst,vol,19921114,0-0,
utr,psv,19921114,2-0,
grn,rkc,19921114,2-2,
mvv,dbs,19921114,2-1,
rdj,fst,19921121,4-1,
psv,drd,19921121,4-1,
rkc,twn,19921121,2-1,
dbs,fyn,19921121,1-5,
mvv,vit,19921121,1-0,
spr,gae,19921121,6-4,
vol,utr,19921121,2-2,
