club1,club2,dd,result,spectators,remark
spr,vit,20060818,1-2, 7689,
wl2,utr,20060819,2-1,11350,
adh,hrv,20060819,2-3, 9000,
exc,rdj,20060819,0-1, 2825,
az1,nac,20060819,8-1,17000,
grn,fyn,20060820,3-0,19814,
hrc,twn,20060820,3-0, 8500,
psv,nec,20060820,3-1,33400,
ajx,rkc,20060820,5-0,46688,
rdj,adh,20060825,1-0,12800,
hrv,wl2,20060826,5-0,25600,
vit,az1,20060826,1-3,19890,
utr,spr,20060826,2-2,19000,
rkc,exc,20060826,1-1, 5000,
twn,psv,20060827,1-0,13000,
fyn,hrc,20060827,0-0,40000,
nec,grn,20060827,1-1,11800,
nac,ajx,20060827,1-2,15432,
twn,rdj,20060908,2-2,13000,
adh,nac,20060908,0-2, 6000,
wl2,psv,20060909,1-3,13900,
exc,hrv,20060909,3-1, 3135,
nec,az1,20060910,0-2,11800,
ajx,vit,20060910,3-0,46001,
spr,fyn,20060910,1-4,10500,
utr,rkc,20060910,5-0,18200,
grn,hrc,20060910,2-1,18800,
rkc,adh,20060915,1-0, 5000,
exc,wl2,20060916,3-2, 3295,
hrc,utr,20060916,3-0, 8500,
vit,nac,20060916,0-1,19251,
psv,fyn,20060917,2-1,35000,
rdj,ajx,20060917,2-0,15000,
az1,twn,20060917,2-2,16600,
hrv,nec,20060917,3-0,25000,
spr,grn,20060917,0-1, 8153,
nac,wl2,20060922,0-0,15150,
adh,psv,20060923,0-2, 7133,
twn,spr,20060923,2-0,13000,
vit,hrc,20060923,4-0,19650,
rdj,az1,20060924,0-2,15653,
ajx,nec,20060924,2-0,46081,
utr,hrv,20060924,1-0,19000,
fyn,exc,20060924,1-0,39000,
grn,rkc,20060924,1-1,19814,
nec,hrc,20060929,2-0,12000,
twn,rkc,20060930,4-3,13100,
exc,spr,20060930,3-1, 3531,
wl2,rdj,20060930,0-1,11900,
fyn,nac,20061001,3-2,38000,
hrv,psv,20061001,0-0,25400,
az1,adh,20061001,2-2,16600,
utr,ajx,20061001,2-3,24000,
grn,vit,20061001,4-3,18754,
adh,twn,20061013,1-2, 6000,
vit,wl2,20061014,1-0,19246,
spr,az1,20061014,0-2,10500,
nac,nec,20061014,0-2,14650,
ajx,grn,20061014,3-2,49782,
psv,rdj,20061015,4-1,35000,
exc,utr,20061015,0-1, 2835,
hrc,hrv,20061015,1-0, 8500,
rkc,fyn,20061015,2-2, 7500,
wl2,hrc,20061020,2-0,11500,
rdj,spr,20061021,2-1,15000,
rkc,nac,20061021,0-1, 5000,
twn,exc,20061021,4-1,13125,
fyn,ajx,20061022,0-4,45000,
nec,vit,20061022,1-0,11000,
utr,adh,20061022,2-0,20000,
az1,psv,20061022,1-3,17000,
hrv,grn,20061022,4-2,26000,
ajx,adh,20061025,2-0,42000,
psv,spr,20061025,7-0,32000,
grn,exc,20061025,2-1,18845,
hrc,rkc,20061025,1-1, 8500,
nec,rdj,20061025,0-0,12000,
fyn,twn,20061026,2-1,35000,
wl2,az1,20061026,0-4,12200,
nac,utr,20061026,2-1,14834,
hrv,ajx,20061028,0-2,26000,
rkc,psv,20061028,0-3, 6800,
adh,hrc,20061028,2-0, 7630,
exc,vit,20061028,2-2, 3145,
az1,utr,20061029,5-1,15297,
rdj,fyn,20061029,1-2,18000,
spr,wl2,20061029,1-0,10134,
twn,nec,20061029,4-0,13225,
nac,grn,20061029,0-0,14985,
nec,wl2,20061103,1-2,12000,
psv,nac,20061104,3-0,33800,
adh,exc,20061104,2-2, 7514,
grn,rdj,20061104,2-1,19088,
rkc,az1,20061104,0-2, 5400,
hrc,ajx,20061105,0-3, 8500,
hrv,spr,20061105,2-0,25800,
fyn,vit,20061105,2-1,40000,
utr,twn,20061105,0-0,19800,
nac,hrv,20061110,1-1,14045,
rdj,rkc,20061111,1-1,12800,
az1,hrc,20061111,5-0,15845,
exc,nec,20061111,1-1, 2915,
ajx,psv,20061112,0-1,50496, # de voorspelde geniepige winst voor psv...
wl2,fyn,20061112,3-5,12750,
spr,adh,20061112,2-1, 9072,
vit,utr,20061112,4-2,17850,
twn,grn,20061112,7-1,13225,
hrc,nac,20061117,2-0, 8400,
psv,exc,20061118,4-0,33000,
fyn,az1,20061118,3-2,45000,
rkc,hrv,20061118,0-2, 5500,
nec,spr,20061118,1-2,12000,
ajx,twn,20061119,1-1,49364,
utr,rdj,20061119,2-0,19250,
grn,wl2,20061119,4-1,18976,
adh,vit,20061119,0-3, 7000,gestaakt in de 67-ste minuut
twn,vit,20061124,2-0,13250,
psv,utr,20061125,5-0,33314,
wl2,rkc,20061125,3-1,13100,
exc,hrc,20061125,6-1, 3328,
spr,ajx,20061126,3-0,10800,
hrv,az1,20061126,1-3,25600,
nec,fyn,20061126,4-1,12000,
grn,adh,20061126,2-5,18747,
rdj,nac,20061126,3-2,12800,
vit,hrv,20061129,1-3,17600,
rkc,spr,20061201,2-1, 6200,
nac,twn,20061202,0-0,14125,
adh,nec,20061202,0-2, 6738,
vit,psv,20061202,0-1,18900,
hrc,rdj,20061202,1-1, 8063,
ajx,wl2,20061203,6-0,46695,
fyn,hrv,20061203,4-3,38000,
utr,grn,20061203,3-0,20000,
az1,exc,20061203,5-0,15101,
hrv,rdj,20061208,1-0,25200,
grn,psv,20061209,0-2,19254,
nac,exc,20061209,2-1,15125,
nec,utr,20061209,2-0,12000,
hrc,spr,20061209,2-3, 8311,
ajx,az1,20061210,2-2,50649,
fyn,adh,20061210,3-1,36000,
wl2,twn,20061210,1-3,12076,
vit,rkc,20061210,3-1,20715,
psv,hrc,20061215,3-0,32000,
rdj,vit,20061216,2-4,12800,
adh,wl2,20061216,2-1, 6600,
spr,nac,20061216,0-3,10800,
exc,ajx,20061217,1-3, 3000,
rkc,nec,20061217,0-1, 5250,
az1,grn,20061217,2-0,15493,
utr,fyn,20061217,2-1,21750,
twn,hrv,20061217,5-1,13250,
hrc,grn,20061222,0-1, 8221,
hrv,exc,20061223,2-0,25000,
nac,adh,20061223,2-2,14628,
psv,wl2,20061223,4-0,33100,
fyn,spr,20061223,3-2,44000,
rdj,twn,20061224,2-0,13500,
vit,ajx,20061224,4-2,24450,ajax geeft 0-2 voorsprong weg
rkc,utr,20061224,1-1, 5000,
az1,nec,20061224,0-0,15299,
fyn,psv,20061226,1-1,40000,
wl2,exc,20061226,2-1,11750,
grn,spr,20061226,0-1,19164,
nac,vit,20061227,2-1,13520,
nec,hrv,20061227,0-2,12000,
twn,az1,20061227,3-0,13250,
utr,hrc,20061227,0-0,16500,
adh,rkc,20061227,1-1, 8360,
ajx,rdj,20061227,2-0,50334,
exc,fyn,20061229,1-3, 3527,
nec,ajx,20061230,2-2,12500,
hrv,utr,20061230,0-0,26000,
psv,adh,20061230,2-1,33000,
rkc,grn,20061230,0-2, 5000,
spr,twn,20061230,3-0,10000,
az1,rdj,20061231,2-2,15042,
hrc,vit,20061231,2-2, 8183,
wl2,nac,20070114,0-2,14000,
adh,az1,20070119,1-3, 7405,
psv,hrv,20070120,3-1,32212,
rdj,wl2,20070120,2-1,13300,
rkc,twn,20070120,1-2, 5400,
hrc,nec,20070120,0-0, 8412,
ajx,utr,20070122,2-0,44740,
nac,fyn,20070122,4-1,16480,
vit,grn,20070122,3-2,18650,
spr,exc,20070122,2-1,10025,
hrv,hrc,20070126,5-1,25200,
az1,spr,20070127,3-0,15873,
utr,exc,20070127,1-0,19000,
nec,nac,20070127,2-1,12200,
wl2,vit,20070127,0-0,12000,
fyn,rkc,20070128,3-1,40500,
grn,ajx,20070128,2-3,19500,
rdj,psv,20070128,2-0,16300,
twn,adh,20070128,3-1,13000,
grn,hrv,20070202,1-1,19846,
psv,az1,20070203,2-3,33300,
exc,twn,20070203,1-2, 3000,
hrc,wl2,20070203,2-2, 8500,
ajx,fyn,20070204,4-1,50490,
vit,nec,20070204,1-1,21200,
adh,utr,20070204,1-1, 7160,
spr,rdj,20070204,2-2, 9750,
nac,rkc,20070204,2-1,14760,
exc,grn,20070209,0-2, 3000,
az1,wl2,20070210,2-0,15978,
hrv,vit,20070210,0-0,25300,
rdj,nec,20070210,1-0,13200,
rkc,hrc,20070210,2-0, 5460,
spr,psv,20070211,1-1,10350,
adh,ajx,20070211,1-2, 8276,
utr,nac,20070211,1-0,18750,
twn,fyn,20070211,3-0,13250,
wl2,adh,20070216,2-1,12500,
