# empty header
vit,grn,20080829,0,4,14900
utr,psv,20080830,1,5,20000
wl2,ajx,20080830,2,1,14700
rdj,twn,20080830,1,1,12535
nec,grf,20080830,2,0,12500
spr,adh,20080831,2,5, 9151
vol,hrv,20080831,2,3, 5500
hrc,fyn,20080831,3,1, 8500
az1,nac,20080831,1,2,17000
hrv,hrc,20080912,2,2,25000
psv,spr,20080913,1,0,33500
twn,nec,20080913,1,1,23550
adh,az1,20080913,3,0, 7833
fyn,vol,20080913,5,0,42500
grf,vit,20080914,1,0,12300
ajx,rdj,20080914,1,0,47468
grn,utr,20080914,2,0,21738
nac,wl2,20080914,1,3,16350
utr,wl2,20080919,1,0,18300
vit,spr,20080920,1,1,15300
hrc,grn,20080920,1,1, 8298
az1,psv,20080920,1,0,16258
fyn,ajx,20080921,2,2,42000
grf,adh,20080921,2,0,12000
hrv,nec,20080921,2,1,25000
rdj,nac,20080921,0,3,14194
vol,twn,20080921,1,2, 5045
nac,hrv,20080927,4,2,16700
psv,vol,20080927,1,0,33200
twn,grf,20080927,3,0,23200
wl2,az1,20080927,2,5,11500
adh,utr,20080928,0,0, 8300
ajx,vit,20080928,3,0,46769
grn,fyn,20080928,3,1,22329
nec,hrc,20080928,1,1,12250
spr,rdj,20080928,2,2, 9503
az1,spr,20081003,6,0,16215
vit,wl2,20081004,2,2,15035
psv,grf,20081004,3,0,33000
hrc,rdj,20081004,2,0, 8500
grn,adh,20081005,3,0,21464
fyn,nec,20081005,0,2,44000
utr,twn,20081005,3,0,19000
vol,nac,20081005,2,4, 4988
hrv,ajx,20081005,5,2,25000
adh,vol,20081017,2,0,12000
twn,hrc,20081018,2,0,24000
nac,psv,20081018,2,1,17078
rdj,hrv,20081018,2,2,14114
ajx,grn,20081018,1,0,49531
nec,vit,20081019,3,1,12500
spr,utr,20081019,1,0,10234
wl2,fyn,20081019,1,0,13750
grf,az1,20081019,0,2,12500
hrc,adh,20081024,3,1, 8432
az1,vol,20081025,3,0,16413
grn,spr,20081025,3,0,21735
wl2,grf,20081025,1,1,12300
psv,rdj,20081025,2,3,33000
ajx,nec,20081026,2,0,48522
utr,nac,20081026,0,0,19600
vit,twn,20081026,0,2,17136
fyn,hrv,20081026,2,2,45500
rdj,az1,20081028,0,2,14705
vol,wl2,20081028,2,2, 5000
adh,psv,20081028,0,2,12000
hrv,vit,20081029,0,2,25000
nac,twn,20081029,0,1,16000
nec,grn,20081029,2,2,12150
spr,fyn,20081029,2,1,10894
hrc,ajx,20081029,1,3, 8500
grf,utr,20081030,0,2,11900
nac,grn,20081101,1,0,16808
psv,wl2,20081101,2,0,32000
twn,ajx,20081101,0,2,24000
hrv,az1,20081101,3,3,26000
rdj,fyn,20081102,0,4,16095
vit,adh,20081102,3,1,15285
spr,nec,20081102,0,2,10212
vol,grf,20081102,3,1, 5074
utr,hrc,20081102,2,0,19300
grf,nac,20081107,0,2,11900
nec,psv,20081108,1,0,12500
hrc,vit,20081108,0,0, 8500
wl2,rdj,20081108,2,1,12500
ajx,spr,20081109,5,2,48852
fyn,utr,20081109,5,2,43000
grn,vol,20081109,5,0,21581
az1,twn,20081109,3,0,16493
adh,hrv,20081109,0,1,10150
nac,hrc,20081114,3,0,16615
adh,wl2,20081115,0,1, 8500
hrv,utr,20081115,3,2,25400
spr,vol,20081115,4,0,10055
rdj,nec,20081115,3,0,13839
ajx,psv,20081116,4,1,49665
grn,grf,20081116,3,0,22000
twn,fyn,20081116,1,1,23028
vit,az1,20081116,1,1,22739
vol,rdj,20081121,3,1, 4633
nac,nec,20081122,1,1,16850
psv,hrc,20081122,4,0,33000
twn,hrv,20081122,6,0,22800
grf,spr,20081122,3,3,12000
fyn,adh,20081123,3,1,41500
az1,ajx,20081123,2,0,17149
utr,vit,20081123,4,0,19000
wl2,grn,20081123,3,0,13500
grn,az1,20081128,0,2,22016
grf,rdj,20081129,1,1,11900
hrc,wl2,20081129,1,0, 8413
adh,twn,20081129,1,2,10000
hrv,psv,20081129,2,2,26000
ajx,utr,20081130,1,1,45929
vit,fyn,20081130,1,1,17345
nec,vol,20081130,6,1,12000
spr,nac,20081130,4,0,10105
psv,grn,20081206,4,2,33000
rdj,vit,20081206,3,0,14350
twn,spr,20081206,6,2,24000
az1,hrc,20081206,2,0,16252
vol,ajx,20081207,1,2, 6260
