season,rank,name,club,total,remark
1956-1957, 1, Coen Dillen, psv, 43,
1956-1957, 2, Van der Gijp, fyn, 32,
1956-1957, 3, Van der Linden, dos, 27,
1957-1958, 1, Leo Canjels, nac, 32,
1957-1958, 2, Van der Linden, dos, 29,
1957-1958, 3, Coen Dillen, psv, 28,
1958-1959, 1, Leo Canjels, nac, 34,
1958-1959, 2, Lammers, dos, 26,
1958-1959, 3, Kruin, elk, 25,
1959-1960, 1, Henk Groot, ajx, 38,
1959-1960, 2, Coen Dillen, psv, 31,
1959-1960, 3, Cees Groot, ajx, 29,
1960-1961, 1, Henk Groot, ajx, 41,
1960-1961, 2, Van der Gijp, fyn, 29,
1960-1961, 3, Den Oude, dws, 25,
1961-1962, 1, Tol, vol, 27,
1961-1962, 2, Rutten, rpj, 25,
1961-1962, 3, Schuurman, ado, 24,
1962-1963, 1, Kerkhoffs, psv, 22,
1962-1963, 2, Bodnar, spr, 20,
1962-1963, 3, Cees Groot, ajx, 18,
1962-1963, 3, Henk Groot, ajx, 18,
1963-1964, 1, Geurtsen, dws, 28,
1963-1964, 2, Kruiver, fyn, 24,
1963-1964, 2, Van der Linden, dos, 24,
1964-1965, 1, Geurtsen, dws, 23,
1964-1965, 2, Willy van der Kuijlen, psv, 20,
1964-1965, 3, Kohn, f54, 19,
1965-1966, 1, Willy van der Kuijlen, psv, 23,
1965-1966, 1, Kruiver, fyn, 23,
1965-1966, 3, Bosveld, spr, 18,
1965-1966, 3, Wery, dos, 18,
1966-1967, 1, Johan Cruijff, ajx, 33,
1966-1967, 2, Sjaak Swart, ajx, 24,
1966-1967, 2, Bild, fyn, 24,
1967-1968, 1, Ove Kindvall, fyn, 28,
1967-1968, 2, Willem van Hanegem, xd6, 26,
1967-1968, 3, Johan Cruijff, ajx, 25,
1968-1969, 1, Dick van Dijk, twn, 30,
1968-1969, 1, Ove Kindvall, fyn, 30,
1968-1969, 3, Johan Cruijff, ajx, 24,
1969-1970, 1, Willy van der Kuijlen, psv, 26,
1969-1970, 2, Ove Kindvall, fyn, 23,
1969-1970, 2, Johan Cruijff, ajx, 23,
1969-1970, 2, Dick van Dijk, ajx, 23,
1970-1971, 1, Ove Kindvall, fyn, 24,
