league,round,team1,team2,dd,result,star,stadium,remark
supercup,,ESrmd,ESsvl,20140812,2-0,1,Cardiff,
CL,v3,NLfyn,TRbsk,20140730,1-2,-1,,
CL,v3,TRbsk,NLfyn,20140806,3-1,2,,
CL,gF,NLajx,FRpsg,20140917,1-1,,,
CL,gF,ESbcl,CYapl,20140917,1-0,,,
CL,gF,CYapl,NLajx,20140930,1-1,,,
CL,gF,FRpsg,ESbcl,20140930,3-2,,,
CL,gF,ESbcl,NLajx,20141021,3-1,,,
CL,gF,CYapl,FRpsg,20141021,0-1,,,
CL,gF,NLajx,ESbcl,20141105,0-2,,,
CL,gF,FRpsg,CYapl,20141105,1-0,,,
CL,gF,FRpsg,NLajx,20141125,3-1,,,
CL,gF,CYapl,ESbcl,20141125,0-4,,,
CL,gF,NLajx,CYapl,20141210,4-0,,,
CL,gF,ESbcl,FRpsg,20141210,3-1,,,
CL,8f,FRpsg,G1cls,20150217,1-1,-1,,
CL,8f,G1cls,FRpsg,20150311,2-2,1,,
CL,8f,UAsdk,DEbmn,20150217,0-0,-1,,
CL,8f,DEbmn,UAsdk,20150311,7-0,2,,
CL,8f,DEs04,ESrmd,20150218,0-2,-1,,
CL,8f,ESrmd,DEs04,20150310,3-4,2,,
CL,8f,CHbsl,PTpor,20150218,1-1,-1,,
CL,8f,PTpor,CHbsl,20150310,4-0,2,,
CL,8f,G1mnu,ESbcl,20150224,1-2,-1,,
CL,8f,ESbcl,G1mnu,20150318,1-0,2,,
CL,8f,ITjuv,DEbdm,20150224,2-1,-1,,
CL,8f,DEbdm,ITjuv,20150318,0-3,1,,
CL,8f,G1ars,FRmnc,20150225,1-3,-1,,
CL,8f,FRmnc,G1ars,20150317,0-2,2,,
CL,8f,DElvk,ESamd,20150225,1-0,-1,,
CL,8f,ESamd,DElvk,20150317,1-0,2,,
CL,4f,FRpsg,ESbcl,20150415,1-3,-1,,
CL,4f,ESbcl,FRpsg,20150421,2-0,2,,
CL,4f,PTpor,DEbmn,20150415,3-1,-1,,
CL,4f,DEbmn,PTpor,20150421,6-1,2,,
CL,4f,ESamd,ESrmd,20150414,0-0,-1,,
CL,4f,ESrmd,ESamd,20150422,1-0,2,,
CL,4f,ITjuv,FRmnc,20150414,1-0,-1,,
CL,4f,FRmnc,ITjuv,20150422,0-0,1,,
CL,2f,ESbcl,DEbmn,20150506,3-0,-1,,
CL,2f,DEbmn,ESbcl,20150512,3-2,1,,
CL,2f,ITjuv,ESrmd,20150505,2-1,-1,,
CL,2f,ESrmd,ITjuv,20150513,1-1,1,,
CL,f,ITjuv,ESbcl,20150606,1-3,2,Berlijn,
EL,v2,G2abd,NLgrn,20140717,0-0,-1,,
EL,v2,NLgrn,G2abd,20140724,1-2,1,,
EL,v3,NLpsv,ATspl,20140731,1-0,-1,,
EL,v3,ATspl,NLpsv,20140807,2-3,1,,
EL,po,AZkrb,NLtwn,20140821,0-0,-1,,
EL,po,NLtwn,AZkrb,20140828,1-1,1,,
EL,po,NLpsv,BYslg,20140821,1-0,-1,,
EL,po,BYslg,NLpsv,20140828,0-2,1,,
EL,po,NLpzw,CZspr,20140821,1-1,-1,,
EL,po,CZspr,NLpzw,20140828,3-1,2,,
EL,po,UAzlg,NLfyn,20140821,1-1,-1,,
EL,po,NLfyn,UAzlg,20140828,4-3,2,,
EL,gE,NLpsv,PTest,20140918,1-0,,,
EL,gE,GRpnt,RUdmk,20140918,1-2,,,
EL,gE,RUdmk,NLpsv,20141002,1-0,,,
EL,gE,PTest,GRpnt,20141002,2-0,,,
EL,gE,NLpsv,GRpnt,20141023,1-1,,,
EL,gE,PTest,RUdmk,20141023,1-2,,,
EL,gE,GRpnt,NLpsv,20141106,2-3,,,
EL,gE,RUdmk,PTest,20141106,1-0,,,
EL,gE,RUdmk,GRpnt,20141127,2-1,,,
EL,gE,PTest,NLpsv,20141128,3-3,,,28 nov. gestaakt bij 3-2 wegens regen; 29 nov uitgespeeld.
