season,key,value
1994-1995,summary_NL,Ajax wint de Champions League!
1994-1995,summary_NL,De Amsterdammers verslaan dit seizoen AC Milan liefst driemaal.
1994-1995,summary_NL,<p>In de EC-II bereikt Feyenoord de kwartfinale door een mooie winst op
1994-1995,summary_NL,"Werder Bremen, maar moet dan in Real Zaragoza haar meerdere erkennen."
1994-1995,summary_NL,"<p>In de UEFA-cup zijn FC Twente, Vitesse en PSV geen van drie&euml;n"
1994-1995,summary_NL,in staat de eerste ronde te overleven.
1994-1995,summary_NL,"<br>Vitesse loot de latere winnaar Parma, en PSV het sterke Bayern Leverkusen, maar"
1994-1995,summary_NL,Twente stelt zwaar teleur tegen het onbekende Kispest Honved.
1994-1995,wns_CL,1
1994-1995,scoring,2
1994-1995,remark_CL_gD,14 oktober 1994: AC Milan krijgt 2 winstpunten in mindering als straf
1994-1995,remark_CL_gD,<br>voor het 'flesjes'-incident. In het duel tegen Casino Salzburg moest
1994-1995,remark_CL_gD,"<br>de keeper van de Oostenrijkers het veld verlaten, nadat"
1994-1995,remark_CL_gD,<br>hij geraakt was door een vanaf de tribunes gegooide plastic fles.
1994-1995,remark_CL_gD,<br>Verder moeten de laatste twee groepswedstrijden buiten Milaan worden gespeeld.
1995-1996,summary_NL,"Ajax staat opnieuw in de finale van de Champions League, maar"
1995-1996,summary_NL,moet na strafschoppen de beker aan Juventus laten.
1995-1996,summary_NL,"<p>In de EC-II bereikt Feyenoord de halve finale, en"
1995-1996,summary_NL,is dan in Wenen kansloos tegen Rapid Wien.
1995-1996,summary_NL,<p>In de UEFA-cup heeft PSV in de kwartfinale veel pech tegen Barcelona.
1995-1996,summary_NL,Roda JC komt niet verder dan de tweede ronde.
1995-1996,wns_CL,1
1996-1997,summary_NL,In de Champions League is Juventus opnieuw te sterk voor Ajax.
1996-1997,summary_NL,"Dit seizoen ontmoeten zij elkaar al in de halve finale, en"
1996-1997,summary_NL,in de return in Turijn wordt Ajax overklast.
1996-1997,summary_NL,In de finale legt Juventus het dan af tegen Borussia Dortmund.
1996-1997,summary_NL,<p>In de EC-II blameert PSV zich in de tweede ronde tegen het Noorse Brann Bergen.
1996-1997,summary_NL,"<p>In de UEFA-cup bereikt Feyenoord de derde ronde, en wordt Roda JC"
1996-1997,summary_NL,al in de eerste ronde uitgeschakeld.
1996-1997,sort_rule,3
1996-1997,wns_CL,1
1997-1998,summary_NL,Voor het eerst mogen twee Nederlandse team meedoen aan de Champions League.
