tournement,round,club1,club2,dd,result,spectators,star,remark
CL,1,grn,az1,20060420,3-1,18883,,
CL,1,ajx,fyn,20060420,3-0,34364,,
CL,1,az1,grn,20060423,2-1, 8500,1,
CL,1,fyn,ajx,20060423,2-4,30470,1,
CL,finale,ajx,grn,20060426,2-0,38060,,
CL,finale,grn,ajx,20060503,2-1,19603,1,
UEFA,1,twn,utr,20060422,2-0,10500,,
UEFA,1,rdj,hrv,20060422,0-0,11000,,
UEFA,1,utr,twn,20060426,1-3,10000,1,
UEFA,1,hrv,rdj,20060426,1-0,10000,2,
UEFA,finale,twn,hrv,20060430,0-1,12700,,
UEFA,finale,hrv,twn,20060503,5-0,19000,2,
Intertoto,1,hrc,nec,20060419,0-2, 5894,,
Intertoto,1,rkc,vit,20060419,4-4,2787,,bij rust: 0-4 !!!
Intertoto,1,nec,hrc,20060423,2-3, 4000,2,
Intertoto,1,vit,rkc,20060423,2-0, 7870,2,
Intertoto,2,vit,nec,20060426,0-0,12928,,
Intertoto,2,nec,vit,20060503,1-2,12500,1,
Intertoto,finale,vit,twn,20060511,1-1,10350,,
Intertoto,finale,twn,vit,20060514,2-0, 9250,2,
