DH,distance,ranking,name,team,result,remark
H,500m,1,JPsmz,,35.76;35.59 OR,
H,500m,2,CAwsp,,36.04;35.80,
H,500m,3,CAovl,,35.78;36.08,
H,500m,4,CAsbc,,35.90;36.10,
H,500m,5,CApbc,,35.96;36.09,
H,500m,6,USfrd,,35.81;36.39,
H,500m,12,NLbos,,36.66;36.11,
H,500m,21,NLlwg,,36.69;36.54,
H,500m,38,NLpst,,78.68;37.81,
H,500m,-1,NLwnn,,gevallen;opgave,
H,1000m,1,NLpst,,70.64,OR
H,1000m,2,NLbos,,70.71,
H,1000m,3,JPsmz,,71,
H,1000m,4,NLlwg,,71.26,
H,1000m,5,CAsbc,,71.29,
H,1000m,6,CAwsp,,71.39,
H,1000m,7,USfrd,,71.64,
H,1000m,8,USkcb,,71.75,
H,1000m,9,DEadb,,71.9,
H,1000m,10,CAovl,,71.9,
H,1000m,11,JPima,,71.96,
H,1000m,12,NLhrs,,72,
H,1500m,1,NOsnd,,107.87,WR
H,1500m,2,NLpst,,108.13,NR
H,1500m,3,NLrts,,108.52,
H,1500m,4,NLbos,,109.75,
H,1500m,5,USkcb,,110.04,
H,1500m,6,NLhrs,,110.31,
H,1500m,7,JPnok,,110.49,
H,1500m,8,JPayn,,110.68,
H,1500m,9,DEbrr,,110.96,
H,1500m,10,RUanf,,110.99,
H,1500m,11,BEvld,,111.73,
H,1500m,12,ATtkn,,111.94,
H,5km,1,NLrmm,,382.2,WR
H,5km,2,NLrts,,388.24,
H,5km,3,BEvld,,388.31,
H,5km,4,NLdjg,,391.37,
H,5km,5,DEdtt,,392.17,
H,5km,6,DEtbr,,395.21,
H,10km,1,NLrmm,,795.33,WR
H,10km,2,NLdjg,,805.76,
H,10km,3,NLrts,,808.19,
H,10km,4,BEvld,,809.69,
H,10km,5,NOstl,,815.95,
H,10km,6,DEdtt,,816.58,
H,10km,7,NOstr,,822.94,
H,10km,8,USkcb,,824.03,
H,10km,9,ITsgh,,826.85,
H,10km,10,DEbmg,,828.44,
H,10km,12,ATtkn,,832.3,
D,500m,1,CAlmy,,38.39;38.21 OR,
D,500m,2,CAach,,38.42;38.51,
D,500m,3,JPokz,,38.55;38.55,
D,500m,4,DEsch,,38.88;38.57,
D,500m,5,JPshm,,38.75;38.93,
D,500m,6,NLtmm,,39.12;39.03 NR,
D,500m,7,DEvlk,,39.19;39.00,
D,500m,17,NLzwl,,39.98;39.88,
D,500m,24,NLwsm,,40.22;40.57,
D,500m,37,NLnuy,,39.62;78.32,
D,1000m,1,NLtmm,,76.51,OR + NR
D,1000m,2,USwtt,,76.79,
D,1000m,3,CAlmy,,77.37,
D,1000m,4,DEvlk,,77.54,
D,1000m,5,NLthm,,77.95,
D,1000m,6,USsns,,78.23,
D,1000m,7,JPokz,,78.27,
D,1000m,8,JPsnm,,78.36,
D,1000m,9,USdan,,78.38,
D,1000m,10,DEgbr,,78.76,
D,1000m,11,JPksn,,78.82,
D,1000m,12,RUzjr,,79.04,
D,1000m,15,NLzwl,,79.29,
D,1000m,20,NLwsm,,80.02,
D,1500m,1,NLtmm,,117.58,WR
D,1500m,2,DEnmn,,118.66,
D,1500m,3,USwtt,,118.97,
D,1500m,4,AThnd,,119.19,
D,1500m,5,DEfrs,,119.2,
D,1500m,6,NLthm,,119.29,
D,1500m,7,DEpch,,119.46,
D,1500m,8,USrdr,,120.97,
D,1500m,9,RUbsj,,121.54,
D,1500m,10,RUplt,,121.56,
D,1500m,11,KZprk,,121.65,
D,1500m,12,USsns,,121.81,
D,1500m,18,NLtdj,,123.19,
D,1500m,22,NLdlr,,124.05,
D,3km,1,DEnmn,,247.29,OS
D,3km,2,DEpch,,248.47,
D,3km,3,DEfrs,,249.44,
D,3km,4,USrdr,,251.64,
D,3km,5,AThnd,,252.01,
D,3km,6,UShlm,,252.24,
D,3km,7,KZprk,,254.23,
D,3km,8,NLthm,,254.38,
D,3km,9,NLzls,,256.43,
D,3km,10,RUbsj,,256.45,
D,3km,11,ITblc,,256.62,
D,3km,12,RUvsk,,257.7,
D,3km,16,NLtdj,,259.54,
D,5km,1,DEpch,,419.61,WR
D,5km,2,DEnmn,,419.65,
D,5km,3,KZprk,,431.14,
D,5km,4,NLdlr,,431.81,
D,5km,5,NLtdj,,432.77,
D,5km,6,NLzls,,432.89,
D,5km,7,UShlm,,434.2,
D,5km,8,AThnd,,435.23,
D,5km,9,ITblc,,435.58,
D,5km,10,USrdr,,436.78,
D,5km,11,JPuhr,,441.72,
D,5km,12,RUvsk,,442.18,
D,5km,13,NOtns,,448.39,
D,5km,14,DEwrn,,450.83,
D,5km,15,JPnmt,,456.77,
