DH,distance,ranking,name,team,result,remark
H,500m,1,NOhlr,,34.41,BR
H,500m,2,KRmky,,34.42,
H,500m,3,CNtgy,,34.65,
H,500m,4,FIptl,,34.68,
H,500m,5,JPymk,,34.78,
H,500m,6,JPkat,,34.83,
H,500m,7,NLmld,,34.83,
H,500m,8,DEnih,,34.89,
H,500m,9,NLvrb,,34.90,
H,500m,10,NLsmk,,34.93,
H,500m,11,CAbsv,,34.93,
H,500m,12,KRjnh,,35.01,
H,1000m,1,NLkns,,67.95,BR
H,1000m,2,NOhlr,,67.99,
H,1000m,3,KRtyn,,68.22,
H,1000m,4,USmnt,,68.56,
H,1000m,5,JPoda,,68.56,
H,1000m,6,NLvrb,,68.61,
H,1000m,7,USdvs,,68.78,
H,1000m,8,DEnih,,68.93,
H,1000m,9,NLvrw,,69.14,
H,1000m,10,USwht,,69.17,
H,1000m,11,CAstj,,69.24,
H,1000m,12,KRmky,,69.27,
H,1500m,1,NLkns,,104.01,BR
H,1500m,2,NLrst,,104.86,
H,1500m,3,KRmsk,,104.93,
H,1500m,4,LVslv,,105.24,
H,1500m,5,JPoda,,105.44,
H,1500m,6,BEswn,,105.49,
H,1500m,7,NOhrk,,105.64,
H,1500m,8,USmnt,,105.86,
H,1500m,9,NOpdr,,106.12,
H,1500m,10,JPwll,,106.21,
H,1500m,11,NLvrw,,106.26,
H,1500m,12,PLbrd,,106.31,
H,5km,1,NLkrm,,369.76,OR
H,5km,2,CAblm,,371.616,
H,5km,3,NOpdr,,371.618,
H,5km,4,NZmch,,374.07,
H,5km,5,KRshn,,374.15,
H,5km,6,BEswn,,374.57,
H,5km,7,NLblk,,374.75,
H,5km,8,ITtml,,375.48,
H,5km,9,JPich,,376.55,
H,5km,10,DEpbk,,377.91,
H,5km,11,FRcnt,,378.13,
H,5km,12,DEgsr,,378.34,
H,5km,15,NLbvr,,382.26,
H,10km,1,CAblm,,759.77,OS
H,10km,2,NLbrg,,761.98,
H,10km,3,ITtml,,774.32,
H,10km,4,KRshn,,775.54,
H,10km,5,CAblc,,779.51,
H,10km,6,NLkrm,,781.02,
H,10km,7,DEpbk,,781.94,
H,10km,8,BEswn,,783.53,
H,10km,9,DEgsr,,786.35,
H,10km,10,JPrts,,790.31,
H,10km,11,NObok,,797.47,
H,10km,12,ITdgh,,807.09,
D,500m,1,JPnkd,,36.94,BR
D,500m,2,KRshl,,37.33,
D,500m,3,CZerb,,37.34,
D,500m,4,AThzg,,37.51,
D,500m,5,USbbw,,37.53,
D,500m,6,NLjtm,,37.53,
D,500m,7,RUglk,,37.62,
D,500m,8,JPago,,37.67,
D,500m,9,CNjng,,37.81,
D,500m,10,CNhdy,,37.88,
D,500m,19,NLads,,38.75,
D,500m,23,NLvbk,,39.18,
D,1000m,1,NLjtm,,73.56,BR
D,1000m,2,JPkdr,,73.82,
D,1000m,3,JPtkg,,73.98,
D,1000m,4,USbbw,,74.36,
D,1000m,5,AThzg,,74.47,
D,1000m,6,NLlns,,74.85,
D,1000m,7,CZerb,,74.95,
D,1000m,8,USrch,,75.15,
D,1000m,9,NLwst,,75.32,
D,1000m,10,NOnjt,,75.43,
D,1000m,11,CNzhh,,75.67,
D,1000m,12,PLczw,,75.77,
D,1500m,1,NLwst,,114.35,
D,1500m,2,JPtkg,,114.55,
D,1500m,3,NLlns,,115.26,
D,1500m,4,NLvbk,,115.27,
D,1500m,5,USbbw,,115.54,
D,1500m,6,JPkdr,,116.11,
D,1500m,7,USrch,,116.74,
D,1500m,8,NOnjt,,116.46,
D,1500m,9,PLczw,,117.85,
D,1500m,10,ITlll,,117.94,
D,1500m,11,CZzdl,,118.03,
D,1500m,12,DEhbc,,118.24,
D,3km,1,NLach,,239.21,
D,3km,2,NLwst,,239.29,
D,3km,3,NLadj,,240.02,
D,3km,4,CZsbl,,240.54,
D,3km,5,JPtkg,,241.35,
D,3km,6,CAbln,,244.14,
D,3km,7,CAwdm,,244.26,
D,3km,8,JPast,,244.35,
D,3km,9,DEpch,,244.49,
D,3km,10,RUvrn,,245.85,
D,3km,11,BYzjv,,245.96,
D,3km,12,NOnjt,,246.67,
D,5km,1,NLvss,,410.23,BR
D,5km,2,CZsbl,,411.85,
D,5km,3,RUvrn,,413.98,
D,5km,4,NLawd,,414.17,
D,5km,5,CAbln,,419.38,
D,5km,6,CAwdm,,419.88,
D,5km,7,BYzjv,,424.41,
D,5km,8,DEpch,,425.43,
D,5km,9,JPosh,,427.71,
D,5km,10,BEjpt,,430.26,
D,5km,11,UScst,,433.28,
D,5km,12,JPntk,,437.45,
H,teampursuit,1,NO,Bokko; Nilsen; Pedersen,217.31,
H,teampursuit,2,KR,Chung; Kim; Lee,218.52,
H,teampursuit,3,NL,Blokhuijsen; Kramer; Roest,218.4,
H,teampursuit,4,NZ,Dobbin; Kay; Michael,223.54,
H,teampursuit,5,IT,Bugari; Giovannini; Tumolero,221.05,
H,teampursuit,6,JP,Ichinohe; Tsuchiya; Williamson,221.61,
H,teampursuit,7,CA,Bloemen; Donnelly; Morrison,222.16,
H,teampursuit,8,US,Garcia; Hansen; Lehman,230.77,
D,teampursuit,1,JP,Sato; Takagi; Takagi,173.89,
D,teampursuit,2,NL,De Jong; Leenstra; W&uuml;st,175.47,NR
D,teampursuit,3,US,Bergsma; Bowe; Manganello,179.26,
D,teampursuit,4,CA,Blondin; Morrison; Weidemann,179.7,
