id,full_name,remark
ATemn,Christian Eminger,
AThds,Michael Hadschieff,
ATlhd,Linus Heidegger,
ATtkn,Marnix ten Kortenaar,
BEswn,Bart Swings,
BEvld,Bart Veldkamp,
BYvmc,Vitali Michajlov,
CAblc,Jordan Belchos,
CAblm,Ted-Jan Bloemen, # TJ Flowers ;-)
CAbsv,Alex Boisvert-Lacroix,
CAdnk,Arne Dankers,
CAgrg,Jamie Gregg,
CAirl,Michael Ireland,
CAkll,Patrick Kelly,
CAmlk,Dustin Molicki,
CAmor,Denny Morrison,
CAgjn,Gilmore Junio,
CAmrs,Neal Marshall,
CAovl,Kevin Overland,
CApbc,Patrick Bouchard,
CAsbc,Sylvain Bouchard,
CAsct,Kevin Scott,
CAstj,Alexandre St-Jean,
CAwsp,Jeremy Wotherspoon,
CHlwn,Livio Wenger,
CNhbl,Hung-Bo Liu,
CNfty,Fengtong Yu,
CNtgy,Gao Tingyu,
CNzhg,Zhang Zhongqi,
DEadb,Peter Adeberg,
DEbdn,Jens Boden,
DEbmg,Alexander Baumg&auml;rtel,
DEbrr,Christian Breuer,
DEdtt,Frank Dittrich,
DEgsr,Moritz Geisreiter,
DEnih,Nico Ihle,
DEpbk,Patrick Beckert,
DEssc,Samuel Schwarz,
DEtbr,Taubenrauch,
DEwbr,Marco Weber,
DKvth,Viktor Thorup,
FIhnn,H&auml;nninen,
FIksk,Pekka Koskela,
FIptl,Mika Poutala,
FRcnt,Alexis Contin,
ITdgh,Davide Ghiotto,
ITfbr,Enrico Fabris,
ITsgh,Roberto Sighel,
ITsnf,Ippolito Sanfratello,
ITtml,Nicola Tumolero,
JPayn,Toru Aoyanagi,
JPhor,Manabu Horii,
JPima,Yusuke Imai,
JPich,Seitaro Ichinohe,
JPino,Junichi Inoue,
JPitk,Toshihiko Itokawa,
JPkat,Joji Kato,
JPmyb,Yasunori Miyabe,
JPnok,Hiroyuki Noake,
JPngs,Keiichiro Nagashima,
JPoda,Takuro Oda,
JPokw,Yuya Oikawa,
JPrts,Ryosuke Tsuchiya,
JPtkd,Toyoki Takeda,
JPshr,Keiji Shirahata,
JPsmz,Hiroyasu Shimizu,
JPsm2,Kazuhiru Shimizu,
JPsat,Kazuhiro Sato,
JPwll,Shane Williamson,
JPymk,Daichi Yamanaka,
KRcjw,Chung Jae-won,
KRjnh,Kim Jun-ho,
KRkhl,Kyu-hyuk Lee,
KRksl,Kang-Seok Lee,
KRlsh,Lee Seung-Hoon,
KRmky,Cha Min-kyu,
KRmsk,Kim Min-seok,
KRshn,Lee Seung-Hoon,
KRtbm,Mo Tae-Bum,
KRtyn,Kim Tae-yun,
KZbbk,Dmitrij Babenko,
KZkzn,Denis Koezin,
KZrkr,Roman Kretsj,
LVslv,Haralds Silovs,
NLblk,Jan Blokhuijsen,
NLbos,Jan Bos,
NLbrg,Jorrit Bergsma,
NLbvr,Bob de Vries,
NLdjg,Bob de Jong,
NLgrt,Stefan Groothuis,
NLhrs,Martin Hersman,
NLkft,Arjen van der Kieft,
NLkns,Kjeld Nuis,
NLkpr,Simon Kuipers,
NLkrm,Sven Kramer,
NLlof,Arie Loef,
NLlwg,Jakko-Jan Leeuwangh,
NLmld,Ronald Mulder,
NLmmd,Michel Mulder,
NLnnh,Beorn Nijenhuis,
NLpst,Ids Postma,
NLrmm,Gianni Romme,
NLrst,Patrick Roest,
NLrts,Rintje Ritsma,
NLsmk,Jan Smeekens,
NLsrd,Arjan Schreuder,
NLstr,Jeroen Straathof,
NLuyt,Jochem Uytdehaage,
NLbvl,Bart Veldkamp,
NLtrt,Mark Tuitert,
NLvld,Gerard van Velde,
NLvls,Nico van der Vlies,
NLvrb,Kai Verbij,
NLvrh,Carl Verheijen,
NLvrw,Koen Verweij,
NLwnn,Erben Wennemars,
NLznd,Falko Zandstra,
NOand,Petter Andersen,
NObok,Havard B&oslash;kko,
NOchr,Henrik Christiansen,
NOerv,Eskil Ervik,
NOehv,Espen Hvammen,
NOfll,Mikael Flygind-Larsen,
NOgrd,Oystein Gr&oslash;dum,
NOhgl,Sverre Haugli,
NOhlr,Havard Lorentzen,
NOhrk,Sindre Henriksen,
NOkss,Johann-Olav Koss,
NOnjs,Grunde Njos,
NOpdr,Sverre Pedersen,
NOsnd,Adne S&oslash;ndr&aring;l,
NOstl,Kjell Storelid,
NOstr,Lasse Saetre,
NOst2,Roger Strom,
NOwtt,Even Wetten,
NZdbb,Shane Dobbin,
NZmch,Peter Michael,
PLaws,Artur Was,
PLbrd,Zbigniew Br&oacute;dka,
PLrdk,Jaromir Radke,
PLzgm,Pawel Zygmunt,
RUanf,Andrej Anoefrijenko,
RUdrf,Dmitry Dorofejev,
RUglb,Aleksandr Goloebev,
RUjsk,Denis Joeskov,
RUklv,Sergej Klevtsjenja,
RUlbk,Dmitri Lobkov,
RUllk,Jevgeni Lalenkov,
RUrmj,Aleksandr Roemjantsev,
RUsrj,Jevgeny Serjajev,
RUsjp,Dmitri Sjepel,
RUskb,Ivan Skobrev,
RUzjl,Igor Zjelezovski,
SEbng,Per Bengtsson,
SErjl,Johan R&ouml;jler,
SEsch,Jonas Schon,
UAsjl,Joeri Sjoelga,
USdvs,Shani Davis,
UShns,Brian Hansen,
UShdr,Chad Hedrick,
USjns,Dan Jansen,
USkcb,KC Boutiette,
USkuc,Jonathan Kuck,
USlhm,Emery Lehman,
USmek,Patrick Meek,
USmnt,Joey Mantia,
USprr,Derek Parra,
USchk,Joey Cheek,
UScpt,Kip Carpenter,
USfrd,Casey FitzRandolph,
USmrs,Trevor Marsicano,
USprr,Derek Parra,
USprs,Nick Pearson,
USwht,Mitchell Whitmore,
