id,long_name,short_name
NLado,ADO,
NLadh,ADO Den Haag,Den Haag
NLajx,Ajax,
NLaz1,AZ,
NLcmb,Cambuur Leeuwarden,Cambuur L.
NLdbs,FC Den Bosch,Den Bosch
NLdrd,Dordrecht,
NLemm,FC Emmen,
NLexc,Excelsior,
NLgrf,De Graafschap,Graafschap
NLgrn,FC Groningen,Groningen
NLfst,Fortuna Sittard,Fortuna S.
NLfyn,Feyenoord,
NLgae,Go Ahead Eagles,GA Eagles
NLhrv,SC Heerenveen,Heerenveen
NLhrl,Haarlem,
NLhlm,Helmond Sport,Helmond Sp.
NLhrc,Heracles Almelo,Heracles
NLmvv,MVV Maastricht,MVV
NLnac,NAC Breda,NAC
NLnec,NEC,
NLoss,FC Oss,
NLomn,Almere City FC,
NLpsv,PSV,
NLrdj,Roda JC,
NLrkc,RKC Waalwijk,RKC
NLspr,Sparta,
NLtop,Top Oss,
NLtwn,FC Twente,
NLutr,FC Utrecht,
NLvit,Vitesse,
NLvol,FC Volendam,
NLvvv,VVV-Venlo,VVV
NLwl2,Willem II,
NLpzw,PEC Zwolle,
