club1,club2,dd,result,spectators
ajx,rdj,20130802,3-0,51445
adh,psv,20130803,2-3,13120
nec,grn,20130803,1-4,10200
twn,rkc,20130803,0-0,28700
hrv,az1,20130803,4-2,19500
cmb,nac,20130804,0-0, 9085
utr,gae,20130804,1-1,14551
vit,hrc,20130804,3-1,13778
pzw,fyn,20130804,2-1,11324
rdj,cmb,20130809,2-0,12335
hrc,pzw,20130810,1-3, 8155
gae,adh,20130810,2-1, 6855
nac,hrv,20130810,0-2,17250
psv,nec,20130810,5-0,31500
fyn,twn,20130811,1-4,43000
grn,utr,20130811,2-0,19076
az1,ajx,20130811,3-2,16268
rkc,vit,20130811,4-2, 5138
psv,gae,20130817,3-0,32000
cmb,grn,20130817,4-1, 9820
rkc,az1,20130817,1-2, 6041
rdj,vit,20130817,1-1,11894
nec,pzw,20130817,1-5,10100
ajx,fyn,20130818,2-1,52581
hrv,hrc,20130818,2-4,20500
nac,adh,20130818,1-2,17000
twn,utr,20130818,6-0,29700
hrv,ajx,20130823,3-3,25205
nec,rkc,20130824,2-2, 9500
hrc,psv,20130824,1-1, 8250
adh,rdj,20130824,0-4, 9850
pzw,cmb,20130824,2-0,11000
gae,grn,20130825,3-3, 7339
fyn,nac,20130825,3-1,41000
vit,twn,20130825,1-0,14745
utr,az1,20130825,2-0,14486
nac,nec,20130830,1-1,16800
twn,hrv,20130831,1-1,29100
hrc,adh,20130831,1-0, 8311
rkc,gae,20130831,1-4, 6217
psv,cmb,20130831,0-0,34500
grn,ajx,20130901,1-1,21670
pzw,utr,20130901,1-1,11324
fyn,rdj,20130901,4-0,41000
az1,vit,20130901,1-1,15047
ajx,pzw,20130914,2-1,51488
cmb,hrc,20130914,2-0, 9618
twn,psv,20130914,2-2,29750
nec,fyn,20130915,3-3, 9118
az1,gae,20130915,3-0,15421
hrv,grn,20130915,4-2,24150
rdj,nac,20130915,1-5,12259
utr,rkc,20130915,2-1,14717
gae,cmb,20130920,0-0, 7214
hrc,twn,20130921,0-3, 8500
grn,rkc,20130921,4-1,18306
adh,nec,20130921,1-1, 8100
rdj,hrv,20130921,3-3,11924
vit,pzw,20130922,3-0,15200
fyn,utr,20130922,1-0,46000
nac,az1,20130922,3-0,18300
psv,ajx,20130922,4-0,33300
az1,psv,20130928,2-1,16032
rkc,hrc,20130928,1-4, 6210
utr,rdj,20130928,3-3,14320
ajx,gae,20130928,6-0,48587
pzw,nac,20130928,0-0,11100
nec,vit,20130929,2-3,11500
fyn,adh,20130929,4-2,41000
hrv,cmb,20130929,2-1,26100
twn,grn,20130929,5-0,29250
adh,vit,20131002,2-1, 9080
cmb,twn,20131004,0-1,10000
rdj,pzw,20131005,0-0,14046
gae,nec,20131005,4-3, 7423
nac,hrc,20131005,2-1,17200
ajx,utr,20131006,3-0,49294
vit,fyn,20131006,1-2,18200
grn,az1,20131006,2-1,18109
psv,rkc,20131006,2-1,32300
gae,fyn,20131019,2-2, 7681
rkc,rdj,20131019,1-2, 6101
utr,nac,20131019,4-2,16019
twn,ajx,20131019,1-1,30000
hrv,vit,20131019,2-3,22000
hrc,nec,20131020,1-1, 8320
grn,psv,20131020,1-0,19776
pzw,adh,20131020,6-1,12089
az1,cmb,20131020,3-1,15787
nec,hrv,20131025,2-1,11800
ajx,rkc,20131026,0-0,48256
cmb,utr,20131026,3-1, 9620
adh,twn,20131026,3-2,10823
nac,gae,20131026,5-0,17800
fyn,hrc,20131027,1-2,46000
rdj,psv,20131027,2-1,15053
vit,grn,20131027,2-2,19104
pzw,az1,20131027,0-2,12218
rkc,nac,20131101,3-0, 6491
ajx,vit,20131102,0-1,51377
az1,adh,20131102,2-0,15379
twn,nec,20131102,2-2,29200
psv,pzw,20131102,1-1,33100
grn,rdj,20131103,3-3,19233
cmb,fyn,20131103,0-2,10000
utr,hrv,20131103,2-0,17880
hrv,rkc,20131108,5-2,22000
rdj,gae,20131109,1-4,13400
hrc,grn,20131109,0-3, 8480
vit,utr,20131109,3-1,16779
adh,cmb,20131109,3-0, 9810
pzw,twn,20131110,1-1,12400
nec,ajx,20131110,0-3,12000
nac,psv,20131110,2-1,18400
fyn,az1,20131110,2-2,46000
ajx,hrc,20131123,3-0,49742
az1,rdj,20131123,2-2,15379
cmb,nec,20131123,2-1, 9648
psv,hrv,20131123,1-1,34000
gae,vit,20131124,0-3, 7473
grn,pzw,20131124,0-0,21453
utr,adh,20131124,3-0,13800
rkc,fyn,20131124,1-0, 5267
twn,nac,20131124,5-2,29900
rdj,twn,20131129,1-2,13905
nac,grn,20131130,2-2,18100
hrc,utr,20131130,1-2, 8169
hrv,gae,20131130,3-1,22600
pzw,rkc,20131130,1-1,12140
fyn,psv,20131201,3-1,47500
vit,cmb,20131201,3-0,16903
adh,ajx,20131201,0-4,13236
nec,az1,20131201,3-2,10400
adh,hrv,20131204,1-1, 7940
gae,hrc,20131204,1-1, 7338
utr,nec,20131206,2-0,15034
ajx,nac,20131207,4-0,50189
az1,twn,20131207,1-2,16021
rkc,cmb,20131207,2-2, 6493
psv,vit,20131207,2-6,33000
hrv,fyn,20131208,1-2,25700
grn,adh,20131208,1-2,18831
gae,pzw,20131208,4-1, 7731
rdj,hrc,20131208,1-3,12781
pzw,hrv,20131213,1-2,12500
nec,rdj,20131214,4-3,10322
twn,gae,20131214,3-1,29900
adh,rkc,20131214,1-2,12113
vit,nac,20131215,3-2,20800
cmb,ajx,20131215,1-2,10000
hrc,az1,20131215,2-0, 8254
fyn,grn,20131215,1-0,42800
utr,psv,20131215,1-5,20011
rkc,twn,20131220,1-1, 6830
