season,rank,name,club,total,remark
2010-2011, 1, vleminx, nec, 23,
2010-2011, 2, boelykin, adh, 21,
2010-2011, 3, junker, rdj, 20,
2010-2011, 4, matavz, grn, 16,
2010-2011, 4, dzsudzsak, psv, 16,
2010-2011, 6, sigthorsson, az1, 15,
2010-2011, 6, vwolfswinkel, utr, 15,
2010-2011, 6, castaignos, fyn, 15,
2010-2011, 6, everton, hrc, 15,
2010-2011, 6, toivonen, psv, 15,
2011-2012, 1, dost, hrv, 32,
2011-2012, 2, ldejong, twn, 25,
2011-2012, 2, malki, rdj, 25,
2011-2012, 4, mertens, psv, 21,
2011-2012, 5, guidetti, fyn, 20,
2011-2012, 6, toivonen, psv, 18,
2011-2012, 7, altidore, az1, 15,
2011-2012, 8, matavz, psv, 14,
2011-2012, 9, sdejong, ajx, 13,
2012-2013, 1, bony, vit, 31,
2012-2013, 2, pelle, fyn, 27,
2012-2013, 3, finnbogason, hrv, 24,
2012-2013, 4, altidore, az1, 23,
2012-2013, 5, malki, rdj, 17,
2012-2013, 6, mertens, psv, 16,
2012-2013, 7, lens, psv, 15,
2012-2013, 8, mulenga, utr, 14,
2012-2013, 8, wijnaldum, psv, 14,
2012-2013,10, castaignos, twn, 13,
